🔴 Detroit. Detroit never changes | DEUS EX: HUMAN REVOLUTION Livestream #5
🔗 https://www.youtube.com/watch?v=GjLx3KIstuk

268:  Witam wszystkich niedzielnie!
2193:  Nie rozumiem tego, co tu się dzieje.
2197:  Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie.
2199:  Jeszcze nie.
2203:  Drive?
2204:  O Boże, faktycznie.
2212:  Ja nie umiem akronimów, no jeżeli chcecie coś ukryć przede mną, to zapiszcie to skrótem.
2220:  Eee... Ooo... Why I cannot open this?
2228:  Mmmmm... Moi drodzy, co ja odkryłem?
2235:  Co ja odkryłem?
2243:  Won mi z tą beczką!
2245:  Nie powiedział nigdy Krzysztof Gonciarz.
2247:  Dobrze, moi drodzy, teraz nam się uda.
2250:  Chcieliście piłkę?
2251:  Piłka, piłka jest krągła.
2253:  Pum, piłka się odbija.
2256:  Ojej, to wspaniałe.
2257:  Ktoś powinien zorganizować mistrzostwa wokół tego i doprowadzić do ludobójstwa przy budowie stadionów.
2263:  Koniecznie, koniecznie.
2268:  Dobrze, ale idziemy we właściwą stronę tym razem.
2270:  Training exercises for augmented soldiers?
2275:  Radiowozy w tej grze to Toyoty Prius?
2277:  Może?
2277:  Nie, nie znam się na modelach samochodów.
2281:  To szybciej wyżej, lepiej rzucaj!
2284:  Tak.
2285:  Możecie już być coachem Jenkinsem.
2287:  Trener Jenkins.
2288:  Kto pamięta, gdzie był trener Jenkins?
2291:  O nie, nasza konstrukcja umożliwiająca wskoczenie... Nie mówcie mi nawet.
2305:  Nie mówcie mi nawet, że tutaj można było wskoczyć bez problemu.
2309:  Bez konieczności ustawiania... Aaa!
2318:  Okej!
2319:  Wampir jest przytomny, mamy cybernogi, to dlatego!
2322:  Okej!
2323:  Okej!
2328:  Okej!
2331:  Jestem spokojniejszy.
2334:  Jensen, Saref zaprosił mnie do zakładki bezpieczeństwa w Centrum Konfesjonalnej.
2350:  Sandoval się zgłosił.
2353:  Nie jest tam.
2353:  Tiger będzie wiedział, gdzie poszedł.
2361:  Czy naprawdę myślisz, że powie ci w środku zniszczenia?
2362:  Przed wszystkimi mediami?
2365:  Powinien, jeśli zapytam naprawdę ładnie.
2368:  Cóż, jeśli to nie działa, to również ma pokój na zewnątrz.
2371:  Wygląda na to, że człowiek taki jak Taggert musi być blisko skończony z swoimi pracownikami.
2377:  Mówiąc o tym, też odwróciłem ten błąd w naszej własnej ścianie.
2381:  Ten, który Sarev otworzył, ale zapomniał nam o nim opowiedzieć.
2383:  Ten, który używał mojego pokoju, kradł mnie.
2386:  Tak.
2387:  Looks like our boss was being chatty with a private detective named Brent Radford.
2393:  He lives on Earl's Court.
2394:  In case you want to get chatty with him.
2397:  W.R.K.L.D.
2398:  Jak czytać twój nick?
2400:  Wrzasnął Krzysztof.
2402:  Pisze.
2402:  Ach tak, profilowanie na podstawie wyglądu.
2404:  Pamiętam jak za pięknych czasów bycia fulgotem ochroniarze sklepowi śledzili mnie między półkami nad zoologicznym.
2411:  Właśnie.
2412:  Dr. Chatterin.
2417:  Mmm... Kojąca muzyka w klinice Limp.
2421:  Czytaliśmy to.
2425:  Mmm... Dzień dobry.
2433:  Pani doktor, to by się nie udało w Japonii.
2435:  Nie wiem, czy wiecie, Japonia jest jednym z nienicznych krajów, w których blokuje się dalej awanse naukowe kobietom na uczelniach.
2442:  I to jest na poważnie.
2445:  Jak wrażenia nowego trailera Pierścieni Czasu Krwawego Dziedzica?
2449:  Udało mi się zrobić gorszy trailer od Pierścieni Władzy, muszę powiedzieć, jeżeli chodzi o Blood Origin.
2455:  Umówmy się, to nie jest Witcher Blood Origin, więc już wiecie, jak będzie wyglądała miniaturka tego, tej recenzji, tego konkretnego, cudownego serialu w moim wykonaniu.
2464:  To jest Blood Origin, okej?
2465:  Doktor Ciepkowski do OR.
2472:  Doktor Ciepkowski do OR.
2473:  Doktor Ciepkowski do OR.
2476:  Idzie gdzie?
2477:  Aha.
2480:  Dzień dobry.
2481:  Tak.
2483:  Amunicja Typhoon?
2484:  Pff, jest nasza.
2485:  Boże, mamy dwadzieścia tysie... Jak to nie ma miejsca?
2488:  Bzdury!
2489:  Słuj!
2491:  Nie ma miejsca na słuj?!
2494:  Co za nonsense!
2495:  Praxis!
2496:  Dwa punkty praxis!
2502:  Co tam go?
2503:  Wystarczy mieć pól młody, zasłonięte włosami, czarną bluzę z kapturem.
2506:  To swoją drogą.
2507:  Dlaczego nie... A my mamy słój.
2511:  My mamy słój, ale... Amunicja Typhoon jest... Wiecie co?
2517:  Pytaliście dlaczego... Trzymam batony energetyczne cyberblasta.
2524:  Otóż po to, żeby je zjeść...
2527:  w godzinie potrzeby.
2530:  To była godzina potrzeby.
2532:  Konieczność zmieszczenia amunicji Typhoon.
2539:  Dobrze.
2541:  Bardzo dobrze.
2541:  Wyrzutni w życiu nie sprzedam.
2543:  Wyrzutnia nas będzie ratowała przy walce z ostatnim bossem.
2548:  Może Krzysztof pamięta walkę z ostatnim bossem.
2550:  Czy widziałem za to trailer The Last of Us?
2552:  Tak i był przepiękny.
2553:  Znaczy...
2554:  Nie, że tam nam pokazali jakoś dużo, natomiast bardzo jest dobrze odwzorowany świat.
2560:  Inna rzecz, że trudno byłoby źle odwzorować świat, który jest po prostu światem post-apo, powiedział złośliwie Krzysztof, ale zarówno Joel, jak i Ellie fantastycznie dobrani.
2574:  Zresztą znakomici aktorzy, więc spodziewam się rozkoszy, moi drodzy, rozkoszy.
2581:  Jillian Shadow ma anegdotę dotyczącą głupoty zabierania telefonów.
2584:  Och, słuchamy z uwagą.
2587:  Ostatnio na studiach wiekowa matematyczka 70 plus lat urwana z podstawówki stwierdziła, że telefony trzeba zabierać.
2592:  Na studiach?!
2593:  Na studiach?!
2594:  Naprawdę?!
2598:  Może ona po prostu się zwolni?
2600:  To jest taki... Mam świetny pomysł.
2602:  Niech się zwolni.
2605:  Lepiej Kingo nie będzie filmu The Last of Us, tylko będzie serial The Last of Us, startuje w styczniu.
2609:  Mamy w planach z Filipem robić co tydzień na bez schematu omówienia.
2614:  Skąd pomysł na serię dla każdego coś przykrego?
2616:  To było bardzo randomowe.
2617:  Ja lubię zawsze organizować swoje rzeczy w serie.
2621:  Pierwszy raz robiłem serię, jak prowadziłem portal satyryczny.
2624:  Kiedyś wam opowiem o portalu satyrycznym, który prowadziłem.
2627:  To był bardzo długi czas zresztą i tam były różne serie.
2632:  I w ramach tych serii się tam grupowało content.
2635:  To było jeszcze w czasach bardzo przed Web 2.0.
2637:  Bardzo, bardzo przed Web 2.0.
2639:  I stwierdziłem, że jeżeli coś już będę wrzucał na YouTube'a, to niech to chociaż ma tytuł jakiejś serii.
2643:  No i padło na książkę Artura Sandauera, która ma tytuł, a dla każdego coś przykrego, i jeszcze w pierwszych odcinkach jest cytowana z tego względu.
2651:  No i potem już poleciało, a jeżeli chodzi o nerwa, to po prostu stwierdziłem, że mam dość publikowania takich rzeczy na fejsie, bo fejs jest gorszy od YouTube'a.
2659:  Mianowicie na fejsie jest więcej boomerów.
2662:  I miałem duży problem z tym, że cokolwiek publikowałem, to miałem tysiące ludzi, którzy... Pisałem się tysiące.
2668:  Setki ludzi, którzy mi pisali jakieś bzdury totalne w komentarzach.
2671:  I ja w którymś momencie zrobiłem nawet taki test.
2674:  Był taki jeden profesor, który cokolwiek nie napisałem, to komentował.
2678:  W związku z powyższym opublikowałem na fejsie post, trawa jest zielona, mam nadzieję, że profesor, tu wymieniłem jego imię i nazwisko, natychmiast zajmie zdanie przeciwstawne.
2687:  Akurat pod tym nie polemizował.
2690:  Byłem bardzo rozczarowany.
2693:  Wiele ludzi narzeka na aktorkę Ellie.
2695:  Naprawdę?
2696:  Przecież to jest ta młoda mormont uwielbiana w grze o tron.
2704:  Dla settingu post-op wystarczy pojechać do Detroit, na przykład, żeby posłuchać Williama Taggarta.
2709:  No better the myth of human augmentation, zobaczcie.
2714:  Stary człowiek.
2717:  zna się na nowoczesnych technologiach, a nie chybi.
2721:  Posłuchajmy o tym.
2722:  Co myślę o kotach?
2723:  Wolę jamniki.
2724:  Jamniki są kotami wśród psów.
2728:  Grze o tron była mała mormon?
2729:  Oczywiście, że to ona zabiła giganta.
2735:  Ktoś powiedział grę o tron, uaktywnił się Jan Gucek, który właśnie jest świeżo po obejrzeniu.
2740:  Ja to pamiętam.
2741:  Proszę bardzo.
2743:  Łooo!
2745:  Jestem jamnik, jeśli to nie jest nawiązanie do Ergo Proxy.
2754:  Nie, nie, nie, nie, nie.
2755:  To musi być nawiązanie do Ergo Proxy.
2757:  Stop.
2758:  Zatrzymuję stream.
2760:  Zatrzymujemy stream.
2763:  Po pierwsze, po pierwsze, i tak powinniście zobaczyć to anime, prędzej czy później.
2769:  Po drugie, to jest ten design, to jest pro... O, o, o, o!
2775:  O!
2776:  Mówiłem?
2777:  Mówiłem?
2778:  To ani chybi jest nawiązanie.
2780:  Nie wierzę, żeby to... Kiedy wyszło Ergo Proxy?
2785:  2006!
2787:  To jest możliwe!
2791:  To jest możliwe, moi drodzy.
2795:  Ło, ale to byłoby super, gdyby to była świadoma ta... Oczywiście teraz będzie czarny ekran.
2801:  No przecież come on!
2807:  Obejrzyjcie Ergo Proxy, jak nie widzieliście.
2809:  Nie powiem wam, nie powiem wam, czy bohater to Ergo czy Proxy, ale powiem wam, że jeżeli chcecie mnie dostać anime, w którym będziecie w stanie batożyć intelektualnie ludzi, którzy uważają, że anime to są głupoty, to polećcie im Ergo Proxy.
2828:  Naciągane jak guma w majtkach, pisze wampir.
2830:  O tam, o tam!
2834:  Ergo Proxy to jest nisza w anime?
2836:  No wiem, że to jest prawda, to jest prawda.
2841:  Ale na tym polega piękno interpretacji, tak?
2844:  Odnajdujemy odniesienia, które nas cieszą.
2849:  Kiedy będzie bestiarusz polacki, jak coś wymyślę?
2851:  Widzicie, jak ja rzadko wymyślam takie rzeczy?
2853:  Jezus Maria.
2855:  Ale zastanawiam się, czy by nie zrobić, tylko trzeba byłoby zaangażować w to talent Dominiki Jamnikotwórczyni, żeby zrobić bestiarusz polacki ilustrowany w formie shortów.
2866:  Znaczy nie shortów bokserek, tylko shortów na YouTubie.
2870:  Wciąż uważam, że to genialna nazwa na krótką formę.
2873:  Ergo Proxy pisze Weronika Aleksandra, to było jej pierwsze anime obejrzone z własnej woli i szczerze chyba nic nie zrozumiałem.
2877:  Ja też!
2879:  Ja dwa razy obejrzałem i nic nie zrozumiałem, ale bardzo mi się podobało, że postaci, które tam się pojawiają, nazywają się Kristeva i Derrida.
2891:  Aha, teraz będzie ładowanie.
2895:  A nie.
2899:  Proszę bardzo, konwent.
2902:  Ulotki.
2904:  Chciałbym, żeby wszyscy ludzie, którzy uważają, że rozdawanie ulotek jest dobrym pomysłem, zczeźli.
2911:  Ergo Proxy ma zajebistą kreskę jak na anime z 2006, prawda?
2915:  Absolutnie.
2917:  The Last of Us i wygląd świata jest wyjątkowy.
2918:  Przez to kłopot.
2919:  Co jest w tym wyjątkowego?
2921:  Wygląda tak jak każdy generyczny świat postapo.
2925:  Czyli robisz interpretację w szkole, masz ją zrobić tak.
2927:  Jest według klucza, bo inaczej będzie źle.
2929:  Dlatego to nie ma nic wspólnego z interpretacjami, moi drodzy.
2933:  To co najwyżej można byłoby nazwać analizą?
2937:  Fuck!
2942:  Co się dzieje?
2947:  S88Art, nasz swoją drogą grafik etatowy na czatach, który tworzy fantastyczne okładki, widział coś w pół drogi między System Shockiem a Ghost in the Shell w tamtym plakacie.
2957:  Widzicie, dlatego są interpretacje piękne, bo każdy może mieć inną.
2962:  Ja System Shocka na przykład w ogóle nie pamiętam już, ale co do Gitza zgadzam się.
2968:  Ergoproxy nie zrozumiał, a jeszcze bardziej nie zrozumiał odcinka z teleturnierem, ale odcinek z teleturnierem Laura daje kontekst światotwórczy cały praktycznie.
2977:  Dotyczące tego, jak powstał projekt Proxy.
2981:  Okej, mam powidoki ze Stanley Parables wczoraj.
2984:  I wiecie, jak on będzie wpływać na legislaję?
2989:  Jak on powie, że to jest naprawdę to, co chcecie?
2994:  Z bólem!
2995:  Już zaczął!
2998:  Spójrz na zewnątrz!
2999:  W naszych ulicach!
3001:  Kto myśli, że wytrzymaliśmy tę więzję?
3003:  I ja nie błagam ich, błagam ludzi jak Tiger.
3005:  Ludzi, którzy ciągle próbują nas rozwiązać przez nasze różnice, zamiast nas uniknąć przez nasze podobieństwa.
3016:  Mam nadzieję, że masz rację.
3019:  Czekam tylko na to, kiedy Hugh Darrow wyjdzie z jego kwiatów i... Słuchaj.
3024:  Byłam wdzięczną w tym przeciwzajemnieniu.
3026:  Byłam atakowana po prostu za to, że przyjechałam do kliniki lęków.
3031:  Dla ludzi, którzy nie byli ograniczonymi.
3032:  Ludzi, którzy mają łokcie do grania.
3035:  I wiesz, kto mnie uratował?
3036:  Ograniczony człowiek, wyjątkowy!
3038:  Więc powiedz mi, od gdzie stoi prawdziwa niebezpieczeństwo?
3043:  Przeciwko ludzkości jest tylko to.
3044:  Przeciwko!
3044:  Przeciwko Agmentacji!
3044:  Przeciwko Agmentacji!
3045:  Przeciwko Agmentacji!
3046:  Przeciwko Agmentacji!
3047:  Przeciwko Agmentacji!
3048:  Przeciwko Agmentacji!
3049:  Przeciwko Agmentacji!
3050:  Przeciwko Agmentacji!
3076:  Jak ktoś nie jest ekspresyjny, to nie powinien się uczyć sztucznie ekspresji, tak?
3082:  Jak ktoś jest ekspresyjny, to ma to channelować, nomen omen, tak?
3087:  Kamelować.
3089:  Chryste Jezu!
3094:  Nie patrz tak na mnie!
3096:  Boże, chcę stąd uciec!
3100:  Ona po prostu patrzyła na mnie, bo myślała, że zjemy wszystkie tartinki.
3106:  Krzysztof robi ruchy jak Simsy.
3110:  A co do ulotek, żeby nam ten wątek nie umknął?
3113:  Tak, zgadzam się z tym, co piszecie na czata.
3115:  Ulotki powinno się prawnie zakazać.
3118:  Drukowanie papieru
3120:  który jest coraz droższy podobno, jest to nieskuteczne marketingowo, bo wszyscy to albo wyrzucą do kosza, albo pójdą z tym dalej, wezmą dla świętego spokoju.
3128:  Po trzecie, szantaż emocjonalny, bo ulotki najczęściej rozdają ludzie, którzy potrzebują szybkiej pracy, niskopłatnej, tak?
3135:  W związku z powyższym niedobrze, bo w ten sposób człowiek przechodzi, myśli sobie, nie no, ja muszę pomóc temu studentowi, na przykład, który chce sobie zarobić grosz, a nie myśli o tym, że w ten sposób wspiera tego Janusza biznesu obrzydliwego, który w ten sposób robi szemrany marketing.
3149:  Ochyda!
3152:  Na CONFAC są przydatne?
3154:  Nie zgadzam się.
3155:  Aplikacje napisać.
3157:  Robimy NFT, zbliżamy sobie... Nie, to się nie nazywa NFT.
3163:  Jak się nazywa to, że się zbliża telefon do telefonu i następuje wymiana danych?
3167:  O to mi chodzi, tak?
3170:  Zaraz sprawdzę, przecież mnie to będzie męczyło, jak to się nazywa.
3173:  Chrysta Jezu.
3175:  NFC!
3176:  Więc robimy sobie NFC, przytykamy dwa telefony, wymieniamy się informacjami.
3180:  Elo!
3181:  Koniec problemu.
3184:  Nie, NFT nie róbmy, nie, nie, nie, nie, nie, nie.
3187:  E-book.
3192:  Ale jest pewien problem, moi drodzy, tzn.
3195:  musielibyśmy jej słuchać dalej.
3198:  Mam pomysł.
3210:  Okej, działa.
3212:  Nie chcą, nie chcą nas, nie chcą nas zabić z tego powodu, super.
3217:  Och, tak.
3226:  Nie, nie, nie, nie, to tylko tamtą.
3228:  Wszystko jest w porządku.
3229:  Dobrze, teraz możemy spokojnie przeczytać e-booka.
3234:  Nie należy gniewać czytelników.
3236:  Tak się kończy, jak rozgniewacie czytelnika, okej?
3240:  Jeżeli się rozgniewa czytelnika i nie da się mu czytać w spokoju, czytelnik tak zareaguje, okej?
3247:  Zawsze.
3250:  Człekiem zrodzon, człekiem bądź.
3254:  Meko pisze, ja bym tak chciała z niektórymi wykładowcami.
3257:  Ja też.
3259:  Ja też.
3292:  Zeju1231, dzięki za wsparcie od 7 miesięcy.
3296:  Otóż okazuje się, że Przemoc nie jest... Przynajmniej umarł robiąc to, co kocha.
3302:  Ojej, jakie ładne.
3304:  To prawda.
3306:  To prawda, moi drodzy.
3307:  Chcecie mi powiedzieć, że tutaj nie ma nic, co możemy zhakować?
3311:  Nie wierzę.
3312:  Dlatego ta ulotka, żeby poczytać w domu.
3316:  Co to jest?
3316:  Co to jest?
3317:  Gdzie my jesteśmy?
3319:  Śliska podłoga.
3320:  Co jeszcze za roślinem te grzybami budynki?
3323:  Dobra, to samo jest w Crysisie Trójeczce.
3325:  Serio?
3338:  To jest dość zrozumiałe.
3339:  A my tutaj jakiś quest dodatkowy.
3341:  Dlaczego ja nie umiem do niego trafić?
3344:  O Boże, on jest zupełnie gdzie indziej.
3348:  Co?
3351:  Gdzie jest quest?
3355:  Wskazówka Pritcharda.
3360:  To jest chyba zupełnie gdzieś indziej.
3366:  Sean King jest polecany.
3367:  Oglądałem Seana Kinga kiedyś.
3369:  Wiecie co, zróbmy może ten quest poboczny, bo się boję, że potem się nam zablokuje coś.
3374:  Przecież nie, nie powinno tak być.
3378:  Cryzisy były dobre, absolutnie.
3384:  Co odpowiedzieć przyjacielowi, pyta Astray z Hollywoodu, który ciągle umniejsza mojemu kierunkowi grafika i mówi, że tego, co się uczy, to są zabawy dla dzieci.
3391:  Da się z takimi ludźmi dyskutować?
3395:  Podyskutuj z nimi, jak dostanie swoją pierwszą pensję.
3398:  jeżeli w ogóle potrzebujesz.
3400:  Bo zazwyczaj na takich ludzi działa wyłącznie argument finansowy, a jeśli nie będzie to argument adekwatny, to porzuć próby.
3409:  Ja, szczerze powiedziawszy, dawno się poddaję.
3411:  Jeżeli ktoś uważa, że należy wyśmiewać kogoś za to, że studiuje to, czym się pasjonuje i w ogóle się śmieje z czymkolwiek zainteresowaniem, to nie ma sensu rozmawiać z takimi ludźmi, moim zdaniem.
3426:  Najlepsza pod względem narracyjnym gra, jaką grałem?
3429:  Bardzo trudne pytanie.
3430:  Nie umiałbym odpowiedzieć na nie.
3434:  Umiałbym za to wymienić różne gry, które narracyjnie robiły świetne rzeczy.
3444:  Dobrze, ewidentnie ta sekwencja jest trochę bardziej... Nie no, czekajcie, zobaczcie.
3449:  Tutaj jesteśmy ewidentnie.
3456:  A jednak... A jednak coś tutaj jest, moi drodzy.
3465:  Dobrze, i tu już możemy hakowando robić, świetnie.
3470:  A jak muszę rozmawiać z osobą, która śmieje się, że idę na studia?
3475:  No tak samo, to trochę nie ma sensu, nie?
3479:  Powiem wam w ten sposób.
3481:  Ja się nauczyłem po latach...
3485:  Być taki jak mawiał Guy de Lusignan z Królestwa Niebieskiego.
3491:  I'm finicky about company.
