🔴 Precz z Dragon's Dogma — HORIZON: FORBIDDEN WEST #2
🔗 https://www.youtube.com/watch?v=ey8tVacIRp8

202:  Wszystkie prawa zastrzeżone.
2161:  Najprościej jest te interfejsy rozpoznać w ten sposób, że zadajemy sobie pytanie, co widzi bohater gry.
2168:  Jeżeli widzi bohater gry interfejs, to jest to interfejs diegetyczny.
2171:  Jak nie widzi, to nie jest to interfejs diegetyczny.
2173:  Jak ja nie znoszę, jak jestem atakowany przez jakieś cholerstwo, jak ja coś tłumaczę albo mam jakąś dygresję.
2180:  Jak szutopatem polegają streamy?
2182:  Nienawidzę tych przeciwników.
2184:  Nienawidzę tego, że nie pamiętam, w jaki sposób się robi unik.
2187:  Dobrze już pamiętam.
2191:  Dziękuję.
2193:  Nieszczęścia chodzą parami.
2195:  Nieszczęścia chodzą trójkami, more like it.
2201:  Za dużo jest tu zawsze przeciwników.
2205:  Dobrze i bardzo chcę już móc mieć taki łuk, który je one-shotuje.
2209:  Dziękuję.
2211:  Ile sekund mam opóźnienia na scenie przy dużej rozdzielczości?
2213:  A!
2214:  To mi się udało ogarnąć.
2216:  To znaczy nie będziemy już mieli takiego opóźnienia na live'ach Q&A.
2219:  Ja po prostu nie zrobiłem jednej rzeczy, którą powinienem był zrobić na YouTubie.
2223:  To znaczy na YouTubie ustawiacie to opóźnienie, nie w OBSie.
2227:  I macie wtedy... Czy ja mogę to wam pokazać?
2230:  W sumie mogę to wam pokazać.
2232:  W ustawieniach transmisji to macie.
2234:  Teraz będziecie mieć podróż do przeszłości, ponieważ YouTube wyświetla coś, co było znacznie wcześniej.
2240:  Więc tutaj macie w ustawieniach transmisji gdzieś o małe opóźnienie, bardzo małe opóźnienie, normalne opóźnienie.
2246:  I teraz, jeżeli chodzi o to bardzo małe opóźnienie, ono jest niemożliwe dla transmisji, które są wyższe niż 1080p.
2255:  Więc tam rzeczywiście macie natychmiastową komunikację.
2258:  Natomiast w przypadku 2K i 4K jest możliwe tylko małe opóźnienie.
2263:  Tylko tyle.
2264:  Więc ja niestety ustawiłem normalne opóźnienie, co oznaczało te 30 sekund, więc to nie było zależne od 4K.
2275:  Pytanko, co się podziało wczoraj na live'ie, poza kiepską grafiką?
2278:  To nie był wczoraj live.
2280:  Wczoraj graliśmy w co innego, wczoraj graliśmy w Warhammera.
2283:  A jeżeli chodzi o Dragon's Dogma, no to tam się wszystko podziało.
2289:  Znaczy gra sfejlowała w każdym możliwym kontekście.
2292:  Dobra, więc wracając do interfejsów diegetycznych, ten znacznik, który widzicie, 33 ślady,
2298:  To jest sporne i to zależy od waszej interpretacji, czy to jest interfejs, który widzi Aloj, czy to jest interfejs, który widzimy my.
2303:  Ja uważam, że jest to interfejs, który widzimy my, z tego względu, że on jest bardzo podobny jak ten font, który się wyświetla na HUDzie, czyli misja poboczna.
2312:  No, Aloj nie widzi misji pobocznej, bo to nie jest część jej interfejsu i jej fokusa.
2320:  4K jest chyba tylko normalne opóźnienie, nie, nie Szymonie, sprawdziłem to, jest małe opóźnienie, więc można, można to ogarnąć.
2326:  Po prostu większość streamerów nie wybiera 4K, z przyczyn mi niejasnych, to znaczy mam wrażenie, że to jest z uwagi na to, że dużo ludzi po prostu na Twitchu streamuje, Twitch w ogóle tego nie wspiera, a w każdym razie nie wspierał przez bardzo, bardzo długi czas i ludzie się też przyzwyczaili.
2342:  I druga rzecz,
2344:  Ja na przykład nie mam monitora 4K, w związku z powyższym to jest jedyna rzecz, która mnie powstrzymuje, żeby grę w 4K streamować, a nie mam monitora 4K dlatego, że to jest mój główny monitor do pisania.
2354:  Pisanie na monitorze 4K to jest coś, do czego się ja dopiero muszę przyzwyczaić, bo jestem mocno nieprzekonany.
2362:  A w ogóle YouTube też ustawia automatycznie na 1080p, więc bardzo często może być tak, że musisz coś na przykład przełączyć, żebym właściwą rozdziałkę wyświetlał.
2371:  Czy znam Stardew Valley?
2372:  Ba, nie tylko znam, ale też tak się składa.
2375:  Praca dyplomowa teraz, w tym roku, pisana na ten temat u mnie.
2379:  Ja muszę sobie wygasić siebie, bo będę widział cały czas siebie na podglądzie i mnie to denerwuje.
2385:  Jestem też w ruchu przeciwko skrajnym działaniom mikrotransakcyjnym.
2387:  Jestem w ogóle przeciwko wszystkim mikrotransakcjom w grach.
2391:  Chyba, że gra jest free-to-play i jest taką grą jak Warframe.
2395:  Nie mam celowy monitor, nie mam zielonego pojęcia.
2397:  Jeżeli tego nie ma na Discordzie, to ja na pewno tego nie będę wiedzieć.
2399:  Jak był ten goniec, ta maszyna musiała go zranić.
2404:  Ja się zachwycałem ostatnio, pisze Koristo, Kingdom Come Deliverance, znakomita gra pod względem imersji, ale walka już jest problematyczna, zwłaszcza strzelanie z łuku.
2411:  No i właśnie, dlatego się rozróżnia imersję kinestetyczną, czyli to, czy no na przykład właśnie dobrze jest zaprojektowany system sterowania i mechaniki od imersji narracyjnej, czyli imersji przestrzennej, która dotyczy świata.
2424:  No ja na przykład imersję przestrzenną tutaj mam super i z imersją narracyjną w Horizonie jest ciupineczkę gorzej dla mnie.
2430:  27 cali.
2433:  Czaty lepiej wiedzą, ilucalowy mam monitor.
2438:  27 cali jest dla mnie takim optimum, zresztą ja byłem ograniczony tym, że ja muszę mieć trzy monitory.
2443:  W związku z powyższym musiały się zmieścić na moim stole, a mój stół ma 150 cm szerokości i 90 cm głębokości, więc... I tak jest sporawy.
2454:  Ja to będę, moi drodzy, przez cały czas frenetycznie zbierał, z tego względu, że z tego robimy strzały.
2459:  Czy nie macie wrażenia, że musimy iść po mostku?
2462:  Mam takie wrażenie.
2465:  Kingdom Come, świetne, wszyscy spuszczają mi wpierdol przesiwy dym.
2467:  I to jest realistyczne!
2471:  Według recenzenta z CD Action nie wiedzieli o mikrotransakcjach, a według Asmongolda wiedzieli o mikrotransakcjach Mac Max, więc wiesz.
2478:  Jeden rabin powie tak, drugi rabin powie tak, a prawda jest taka, że nie wiemy, ponieważ recenzenci, gdyby się okazało, że wiedzieli o tym, a ja uważam, że na pewno wiedzieli, to znowu mielibyśmy dyskusję o tym, że recenzentom nie należy ufać.
2490:  Mandarze.
2492:  Go nie spróbował chyba opatrzyć swoje rany, zanim ruszył dalej.
2497:  Dam radę ruszyć tym śladem.
2500:  Właściwie, że ma problem z tą grą, że jest całkowicie czymś innym, co wydaje się mocno casual'a i w czym problem?
2504:  Ja gram w różne typy gier.
2506:  Zawsze.
2506:  I... W zasadzie jedynym ich spoiwem wszystkim jest to, że albo to są gry fantasy, albo to są gry bardzo mocno narracyjne.
2518:  Gdzie mogłeś sobie pójść?
2518:  Ja absolutnie nie jestem zdania, że dobra gra to włącznie ta, która ma skomplikowany, trudny gameplay.
2524:  Absolutnie nie.
2529:  Tu sobie mogę na przykład zabić shopa Pratcha.
2531:  Zabijanie shopów Pratchów jest super.
2534:  Dobrze, dalej tam.
2535:  Podświetlmy może tę ścieżkę, będzie wygodniej.
2539:  Czyli dlatego nie Minecraft.
2540:  No między innymi, między innymi.
2542:  To nie jest tak, że ja nie gram Minecrafta, bo uważam, że to jest zła gra.
2545:  Absolutnie nic, bardzo dobra gra, tylko że w swoim segmencie, który mnie kompletnie nie interesuje.
2548:  Co widzisz gręcznie?
2549:  No właśnie, no właśnie, eksploracje.
2553:  baka, więc jeżeli grałeś w wersję 1.0, to tam nie miałeś co eksplorować.
2558:  Genshin 1.0 był strasznie zły.
2561:  Ludzie grali w Genshin 1.0 dlatego, że był COVID i to była gra darmowa, w związku z powyższym Genshin miał takie szczęście, że bardzo dużo ludzi się tym zainteresowało.
2568:  Dlaczego ten szopracz nie ginie?!
2571:  To jest nieśmiertelny szopracz!
2573:  No przecież ja...
2578:  On jest... On jest nieśmiertelny!
2589:  Jeszcze przykładem mogą być wszystkie gry logiczne, które są proste mechanice, a ich trudność i sens polega na czymś innym.
2593:  A to prawda.
2593:  I też się od nich trzymam z daleka, ale to z innych powodów.
2597:  W Genshinie jest eksploracja lore i fabuła, moi drodzy.
2599:  To jest to, co... Tylko ta główna fabuła, nie?
2601:  To jest to, co najbardziej kusi.
2603:  Hmm... Tam są przeciwnicy, ale biorąc pod uwagę moje ostatnie sukcesy, może nie powinienem na razie z nimi walczyć przed tym, jak upgrade'uję cokolwiek.
2612:  Chyba zgubiłem naszą ścieżkę.
2615:  O czym jest problem Trzech Ciał?
2618:  W wariancie Anno bardzo prozaicznym o odpieraniu inwazji obcych.
2623:  W wariancie nieprozaicznym jest o tym, w jaki sposób może przebiegać ta inwazja planetarna w fazach niebapalistycznych.
2635:  W jaki sposób może wyglądać na przykład kontrwywiad obcych.
2640:  jak to się wiąże z hamowaniem postępu naukowego.
2643:  Jeszcze jest jeden bardzo ciekawy wątek w Problemie Trzech Ciał, który mnie osobiście się podobał, że jeżeli jacyś obcy by chcieli nas inwadować, to na pewno by zrobili jedną rzecz, a mianowicie wszystkie możliwe ruchy antyszczepionkowe, antynaukowe, momentalnie, momentalnie by zaczęli wspierać, no bo to jest coś, co hamuje nasz rozwój intelektualny.
2663:  Tak samo polskie szkolnictwo hamuje nasz rozwój intelektualny, ponieważ polskie szkolnictwo be like...
2668:  Róbmy tak jak w XIX wieku, nie róbmy niczego nowego, nie eksperymentujmy na wszelki wypadek, bo ja się boję, że ten eksperyment się nie uda.
2685:  Gdyby na przykład Christopher Nolan kręcił film nie na temat Oppenheimera, tylko na temat polskiego Belfra, to w momencie, w którym miałby być wykonany ten przełom naukowy, to byłoby...
2695:  Ja się boję zaeksperymentować, żeby nie sprawdzały się inne rzeczy wcześniej.
2703:  Nie ryzykujmy, nie pakujmy się w jakieś utopijne wizje, okej?
2708:  Ja mówię, nie, nie, nie chcę, nie, weźcie se te granty naukowe, weźcie se te kontrakty zbrojne, nie chcę tego.
2715:  No, to mniej więcej tak by to wyglądało.
2717:  Więc czy ja uważam, że problemem z polską edukacją jest to, że obcy nas infiltrują i ogłupiają?
2724:  Tak.
2726:  Czy komuś podoba się serial Problem Trzech Ciał?
2728:  Misia Pyzia, Filip się zachwyca na bez sematu.
2731:  Ja wstępną recenzję mogę wam dać taką.
2733:  Pierwsze trzy odcinki to jest chujnia i patatajnia.
2736:  Następne odcinki są coraz lepsze.
2744:  Czy mam w planie porównać wersję Netflixową z wersją Tencenta?
2746:  Nie, chętno żyć Tencent.
2749:  I komunistyczną partię Chin.
2750:  Kultysta.
2751:  Ojej, będziemy zapijać ludzi, no wreszcie.
2756:  Ja mogę zebrać tę rzecz, która mi się i tak do niczego nie przyda.
2764:  Społeczeństwo potrzebuje korpo-dronów, a w ich produkcji system pruski jest najskuteczniejszy.
2769:  Społeczeństwo na razie ich potrzebuje.
2772:  Na razie.
2776:  Przypominam, że AI istnieje i AI jest najlepsze w robieniu korpo-dronów.
2780:  Będziemy musieli przebić się przez bramę.
2781:  A potem co?
2782:  Tylko Rejad miał kontakt z Wezrechem.
2788:  A teraz też nie żyje.
2788:  W razie czego znajdziemy Wezrecha.
2790:  Ale najpierw samotne światło.
2793:  Kapcom to splytnie zły, pisze Bartłomiej Westwarewicz.
2796:  Wszyscy mówią o mikrotransakcjach, a nie o tym, jak skonocona jest na wielu poziomach gra.
2799:  Myślisz, że to było celowe?
2801:  Ło.
2801:  Cień znów powstanie.
2801:  Nadchodzi nowy świat.
2806:  Dobrze, F to było, kółko broni.
2808:  Tak, wciąż będę narzekał na to, że to jest nieintuicyjne.
2813:  Dobrze, tu mamy wszystko.
2817:  Tu mamy prawie wszystko, tu nic, dobrze.
2824:  Tak.
2824:  A jeśli wsadzę ci ten nosz w gardło... Głóvenika moja!
2830:  Ilu ich tam jest?
2831:  Dobrze.
2832:  To jest to, co bardzo lubię.
2835:  Oznaczanko celów.
2839:  Dobrze.
2845:  No i tyle w temacie.
2859:  Główeńkę, pokaż mi główeńkę!
2865:  Nie ma główeńki.
2866:  Widziałem tego shorta Asmongolda, widziałem też jego materiał duży na temat Dragon's Dogma.
2872:  Ja myślę, że to też jest jakiś damage control, bo Asmongold się na początku dość z... no troszeczkę bronił gry, powiedzmy.
2888:  Ach, tu są!
2890:  Główeńka!
2893:  Główeńka!
2895:  Daj mi główeńkę!
2897:  O, jest!
2900:  Jakim cudem nie działa strzał w główeńkę?
2906:  Przecież strzeliłem w główeńkę!
2909:  Bo on ma maskę, to dlatego?
2912:  Chyba tak.
2916:  On ma maskę.
2920:  To on się wciąż rusza.
2922:  Czy to znaczy, że ja będę musiał go sieknąć w ten sposób?
2928:  Chyba tak.
2942:  Pancerna maska.
2947:  Pora zakończyć ankietę.
2948:  Perfectly balanced as all things should be.
2951:  Tak, moi drodzy, więc w połowie zmienimy na napisy.
2956:  A nie!
2957:  Z dublażem 50%, wrażliwy dublaż chce napisy 49%.
2961:  I to jest YouTube, moi drodzy.
2964:  Poziom trudny jest, tak jest, moi drodzy.
2970:  Nie ma tak łatwo.
2973:  Czy widziałem wcześniejszy trybut?
2975:  Nie widziałem Marceline Wewamba.
2977:  Dziękuję Ci za zwrócenie na to uwagi.
2978:  Przepraszam Was, musiało się coś umknąć.
2982:  Czy będę na Śląskich Dniach Fantastyki?
2984:  Ale absolutnie niezakazana rzecz.
2986:  Dziękuję Ci za trybut.
2988:  Strasznie przykro mi, że się zmarnował pod tym kątem, bo nie.
2992:  Nie planuję.
2994:  Z tego względu, że po pierwsze nie dostałem info od organizatorów, a ja szczerze Wam powiem, jestem tak
3001:  zalatany, że w zasadzie ograniczam swoje występy wyłącznie do sytuacji, w której ktoś poprosi mnie o obecność.
3012:  No i teraz nie użyłem focusu i ja ich nie widzę.
3017:  To był błąd.
3018:  A tak już było ładnie, a tak już było sympatycznie.
3023:  Dobra.
3026:  Główeńka i brak amunicji, no tak, no tak.
3032:  Ja się naprawdę nauczę tego sterowania w którymś momencie.
3043:  Okej, okej, okej.
3045:  Na zewnątrz był ten typ z maską.
3049:  O tak, o tak.
3055:  Dobrze, jest jeden i jest drugi.
3062:  On ma maskę.
3064:  On ma maskę!
3067:  Nie chce maski!
3071:  On ma maski, co jest?
3073:  Au!
3085:  Czy tu przypadkiem nie ma mechaniki, że niezalarmowani przeciwnicy dostają większe obrażenia?
3088:  Nie wiem.
3091:  Pułapki podłożyć?
3092:  To nie jest zły pomysł.
3096:  To nie jest zły pomysł.
3096:  Dobrze, teraz trzeba to zrobić lepiej.
3101:  Czy ja mam jakąś pułapkę?
3105:  Mam pułapkę wybuchającą sztuk jeden.
3110:  Nie, nie, nie, nie, nie, nie, nie.
3112:  Nie!
3113:  A jeśli Laruvik zdradził?
3115:  A jeśli wsadzę ci ten nóż w gardło?
3117:  Zachowaj go dla heretyków.
3120:  Dobrze.
3122:  Te ci z maską są mocni.
3124:  Są zbyt mocni, jak na moje gusta.
3128:  Alphata pisze, że wraca z zawodu w Szwecji.
3130:  Miałem mieć trzy loty i lot Stockholmu się opóźnił, przez co nie zdążyłem na lot Gdańsk-Wrocław i teraz próbuję wrócić do domu.
3136:  Jezus Maria, a nikt ci nie wypłaci za to odszkodowania?
3140:  Przecież to nie jest twoja wina, że tego rodzaju opóźnienie było.
3145:  No.
3148:  I teraz tak.
3157:  No... O Boże!
3160:  Er, er, er, er, er!
3164:  No ja się teraz zwariuję z tym sterowaniem.
3173:  Gdzie jest ta moja pułapka?
3175:  Ona zniknęła.
3177:  Czy ja ją opuściłem?
3183:  Może mam pułapkę kwasową.
3185:  Niech będzie i ona, wszystko jedno.
3188:  Ona po prostu zniknęła.
3192:  Ok, pojedyncze R to jest.
3195:  Łapka nie zadziałała.
3199:  Czemu oni nie mają masek teraz?
3201:  Ten ma maskę, ma maskę, ma maskę!
3202:  Niedobrze.
3206:  To trzeba brute force'ować się przez to.
3212:  Potykacz?
3213:  Może na niej nie zadziałać potykacz, bo ja się...
3223:  W sumie powinienem móc tę maskę mu zniszczyć przecież w jakiś sposób, nie?
3229:  Ja w nią strzelam.
3231:  Brak amunicji.
3233:  Boże, chcę mieć więcej amunicji.
3235:  Chcę mieć więcej amunicji.
3237:  Pod Ery jest Estus, pod Ery jest wszystko.
3239:  Nie tylko Estus.
3242:  Dobrze, chyba nie ma maski już.
3244:  Cztery strzały, żeby zniszczyć maskę?
3246:  Czy to jest jakieś szaleństwo?
3250:  Nie, on dalej ma maskę.
3251:  Ta maska jest niezniszczalna, ja chcę taką maskę!
3261:  Gdy nie chodzi o tutorial walki, moi drodzy, to chodzi o to, żeby mieć silniejszy łuk.
3268:  Tylko tyle.
3271:  No dobrze.
3272:  Nowy poziom.
3274:  Bardzo dobra wiadomość.
3277:  Strzały alternatywne, zielone, są kwasowe, ale też trzeba mieć surowce, żeby je craftować, więc wiecie.
3281:  Poważna sprawa.
3284:  Dobrze, rozmontujmy tę pułapkę, skoro się nie przydała, ale nie mam zielonego pojęcia, gdzie się podziela nasza pułapka wybuchowa.
3290:  Czy dasz radę streścić tę czasową fabułę wątku głównego od momentu jedynki?
3295:  Chyba żartujesz.
3295:  To jest w moim przypadku naprawdę niemożliwe.
3298:  Ja totalnie intuicyjnie do tego podchodzę.
3303:  Nie mam zielonego pojęcia, co się działo w jedynce.
3305:  Wiem tylko, że był jakiś Silas, który zdradził.
3308:  Wiem, że poruszamy się w postapokaliptycznym świecie, w którym kiedyś był naszą ziemią.
3316:  Doszło do jakiegoś dziwnego bum-bum i maszyny przejęły władzę.
3322:  i to dziwne bum-bum było związane jeszcze równocześnie nie tylko z kataklizmem, ale z tym, że ludzie chcieli od bum-bumu uciekać i mieli misję kolonizacyjną.
3333:  To jest, to jest moja pamięć do faktów fabularnych.
3339:  Nic więcej.
3342:  Mam drugi przykład jak Dragon's Dogma, Rise of Ronin, ciekawa była, ciekawa, ale grafika jest w wieśku trzecim, bo to już jest, zaczyna być tendencja
3350:  Spadkowa, cały czas, zauważcie.
3353:  Oznaw cel, dzik.
3355:  Nie, takiego celu nie chcę oznaczyć.
3356:  Jest tendencja spadkowa, ponieważ gracze to zaakceptowali, bo wszyscy mówią, o, jest, jest fajnie, jest, jest retro, retro gaming, o, no to, no to macie retro gaming, nie?
3372:  O, wielkie korpo zniszczyło ziemię, maszyny to zwierzyna.
