🔴 Ścieżka bólu bez nadziei | HOLLOW KNIGHT Livestream #12
🔗 https://www.youtube.com/watch?v=Ti3O49kJYAY

28:  O nie...
2480:  Z tym takim dziwnym guzkiem na ścianie.
2485:  Nie, nie w ten sposób.
2490:  Dobrze, ale to na pewno będzie łatwiejsza sekwencja, nie?
2492:  Powiedzcie mi, co najłatwiejsza.
2496:  Okej.
2499:  Okej?
2503:  To jest najłatwiejsza sekcja, aha.
2506:  To dobrze.
2508:  Dobrze wiedzieć.
2511:  Jest jeden problem.
2512:  Ja się nigdy nie nauczyłem wspinać na te cholerstwa, które ranią mnie od dołu.
2520:  Czy to są te mikropółeczki, na których można stanąć?
2522:  Tak jest.
2524:  O nie, nie, nie, to nie był Crystal Dash.
2528:  To jest Crystal Dash, dobrze.
2539:  Okej.
2539:  A-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a
2554:  Dobra.
2557:  Co?
2557:  Co?
2558:  Co?
2558:  Co?
2563:  Te chmury nas ranią?
2568:  Okej, można i tak.
2575:  O nie, to są znowu te robaczywe fruwadła.
2578:  Ja nie chcę robaczywych fruwadeł.
2582:  Jezus Maria, dlaczego to one muszą być tutaj?
2587:  Może arena trzecia?
2588:  Nie mogę się wycofać stąd, Xirafa, w tym momencie.
2592:  Ponieważ gra nie pozwala tu powrócić, nie mogę zrobić Dream Gata.
2599:  Więc jesteśmy tu uwięzieni.
2606:  Tak, tak!
2618:  Sobie zrobiłeś co?
2619:  Widzicie, teraz mnie pytacie, ja specjalnie... O Boże, znowu to samo zrobiłem.
2622:  Specjalnie, aby był stream z Filipem, to użyłem podkładu.
2627:  Trzeba było dzisiaj też to zrobić.
2628:  Ale nie!
2629:  Chcę, żebyś rana zagoiła!
2633:  Moi drodzy, dla mnie... Co to było?
2636:  Mnie w zupełności wystarczy to,
2641:  że jestem w domu, ja jestem w stanie sobie zrobić największą krzywdę samodzielnie.
2645:  Nie muszę wychodzić.
2647:  Pomyślcie sobie było, gdybym skakał na bungee, tak?
2655:  Proszę, powiedzcie mi, że już nie będzie później tych fruwadeł, ja ich tak strasznie nie znoszę!
2664:  Ja ich tak strasznie nie cierpię.
2665:  One są tak zrandomizowane.
2667:  Za każdym razem w innym kierunku mnie spuszczają.
2671:  To jest... Będą jeszcze?
2672:  Jezus Maria.
2676:  Nie.
2677:  Po co?
2683:  Nie!
2685:  Widzicie?
2685:  Widzicie?
2686:  Ja nawet nie wcisnąłem D. Jakim cudem on mnie tam przeniósł?
2694:  Jeszcze za nimi zatęsknię.
2695:  Nie, nie zatęsknię, nie zatęsknię.
2697:  Wszystko mogę mieć, wszystko mogę mieć.
2699:  Wolę te wysuwające się miecze.
2702:  Wolę piły tarczowe.
2704:  Wszystko, tylko nie cholerne fruwadła.
2707:  Obrzydliwe, paskudne... Znowu to zrobił!
2711:  Obrzydliwe, paskudne fruwadła.
2714:  Nie, ale naprawdę... Oho, teraz jest za nisko, prawda?
2719:  Tak, za nisko.
2719:  Ech...
2724:  Jak się zgadzisz się po ścianie, klikniesz dasz, to automatycznie oddasz owuj od ściany.
2727:  No tym razem, tym razem, bo w innych przypadkach tak nie było.
2731:  O nie, nie, nie, nie, nie, nie, nie, nie, nie.
2745:  To jest niesamowite, że ja cały czas zapominam o przyciskaniu właściwych przycisków.
2754:  Trudno jest być mną, tak uważam.
2759:  Nie zdążyłem.
2761:  Z małej ścianki snuń się od dołu dasz.
2763:  Na dole są chmury, które mnie zabijają!
2766:  Już drugi raz nie zaryzykuję.
2770:  Wciąż jesteśmy w tym samym miejscu, faktycznie.
2772:  Faktycznie mogę odpiąć przypiętą za jadomaś, to jest niesamowite.
2778:  No i teraz było za nisko.
2784:  Dobra.
2788:  O to chodzi?
2791:  A czy ten... Czemu one muszą tak wolno przechodzić do pierwotnej postaci?
2805:  Czemu?
2807:  Czemu to nie może być sekunda dłużej?
2809:  Znaczy wolniej, przepraszam, krócej sekunda właśnie, krócej.
2814:  O Boże... Tak mówię, mnie przez całą grę przeszkadzają te same rzeczy i tutaj one po prostu tylko kulminują.
2829:  Ile razy ja powiedziałem, jak bardzo głupie jest to, że zabija mnie wierzch kolców.
2839:  Jezus Maria...
2846:  Przerażające to jest.
2852:  O Boże, naprawdę?
2856:  Nie wierzę.
2862:  Dobra, ale to zsunięcie się jest tutaj rzeczywiście łatwiejsze.
2866:  No Boże, dlaczego on ma taki krótki ten podskok, chryszte panie?
2874:  Za nisko.
2884:  Słynne kolce z... Jezus, co się dzieje?
2887:  Z ostatnią piłą robi się krystal dashem.
2891:  Chyba, że chodzi o te kolce na samym końcu Path of Pain, to ja nie wiem, jak ja to zrobię.
2895:  Nie mam zielonego pojęcia.
2896:  Na razie się nad tym nie skupiam.
2905:  Zrobienie tego tak szybko...
2908:  przy randomowo pojawiających się fruwadłach i ruszających się cały czas.
2914:  No, świetnie.
2916:  To jest strasznie trudne.
2920:  Wysokość przy skoku nie zależy od długiego przytrzymania przycisku.
2925:  Zależy od długiego przytrzymania przycisku, jak jesteśmy na stabilnym gruncie.
2929:  Niestety.
2936:  O mój Boże.
2943:  Mhm... Rany boskie... Rany boskie... No idź, no trzeba wyćwiczyć moi drodzy, no, no, no, nie ma opcji.
2962:  Nie jestem w stanie zrozumieć, dlaczego nie odpala się mi to uderzenie w dół.
2975:  Nie jestem w stanie tego zrozumieć.
2984:  Cały czas jestem za nisko i dlatego się ono nie odpala.
2989:  Jak ja mam tam być wyżej?
3007:  Tak, o Boże, tak, tak, tak, tak, tak, tak, tak, tak.
3013:  O Boże, tak, tak, papa.
3022:  Szybki wjeżdżają.
3070:  Nie, ale piękna jest ta muzyka, absolutnie.
3074:  Wspaniała!
3081:  Aha.
3085:  No doskonale.
3090:  A, to jest to.
3095:  To jest to.
3096:  Mhm.
3100:  Zsunięcie się, dasz, podskok, przeskok.
3105:  Pogo, dasz, pogo.
3108:  Okej.
3109:  Wygląda przednio, prawda, siwydymie.
3113:  Znaczy nie, ja uważam, że moje osiągnięcie, moje osiągnięcie jest ponad moje możliwości już, za mną.
3125:  Udowodniłem sobie, że się da.
3129:  Nie denerwuj mnie Chelsea z maturami.
3135:  Background jest ładny tutaj.
3137:  Zauważyliście, że nie ma tych flar już?
3139:  Przynajmniej.
3144:  Aha, okej.
3147:  Rzeczywiście jest tak, że on automatycznie robi jazz w inną stronę.
3150:  Czyli musimy to centralnie zrobić wtedy, kiedy on już będzie dosłownie pół sekundy na to.
3158:  Okej.
3160:  Nawet bez shiftu.
3163:  I teraz założę się, że jak ja tam skoczę... Te piłce są chociaż stabilne.
3175:  A, okej, no naturalnie.
3178:  Oczywiście, że muszą tutaj być kolce w takiej odległości, żeby skok centralnie nas w nie wpakował.
3184:  Hmm...
3191:  Okej.
3193:  Okej.
3195:  Tu nie ma posągu z Maną.
3197:  Spokojnie, spokojnie.
3198:  Ja dla tego bardzo uważam.
3200:  Tutaj jest za nami posąg z Maną.
3204:  Nie, za... Microsoft, co?
3210:  Pojawiła się data premiery Hollow Knight Silksong.
3212:  Okazuje się, że premiera będzie 12 grudnia 1998 roku, pociesza nas Omikron.
3218:  I nad posągiem nie było innej ścieżki?
3228:  Eee, gdzie jestem?
3231:  Chyba to jest zablokowane, wiecie?
3233:  Ale faktycznie, co?
3235:  Faktycznie.
3236:  Coś jest.
3238:  Ciekawe.
3244:  Prawie.
3246:  No czary, czary!
3250:  W następnym fragmencie nie ma posągu.
3252:  O Jezusa.
3259:  Ej, no to jest już nieuczciwe!
3263:  Gdzie te kolce się niby kończą?
3270:  Okej, no i... no i... no i źle.
3275:  No coś ej teraz dzieje nagle!
3280:  Dobrze, na spokojnie, zregenerujmy sobie tutaj maskę.
3283:  Oczywiście, że mam grab song cały czas.
3288:  Okej, jeszcze troszeczkę dalej.
3296:  Dobrze Mówiłem, że będzie Mówiłem, że będzie prościej Nie poguj na drugiej pile tylko od razu dasz?
3304:  Tak i on mnie wpieprzy w piłę wtedy Piłem w spale W spałem w pile Jak mogę nie pogować na drugiej pile?
3328:  Okej, źle, źle, źle, źle, źle, źle, źle, źle, źle.
3335:  Jest jeden posemny modlę zapomnianą?
3336:  Nie, nie, nie, to nie jest tak.
3338:  Jest pierwsza część utworu zapętlona w pierwszym pokoju, potem druga część, potem trzecia część, potem całość leci.
3349:  Nie!
3350:  I wcześniej.
3355:  No co się dzieje?
3357:  To jest właśnie esencja tej gry.
3359:  To znaczy, człowiek robi progres i... Dobra, muszę teraz zregenerować.
3363:  Już mamy.
3366:  Nic nie planuje HSBCKW.
3369:  Nie kierowałbym się żadnymi obietnicami.
3375:  Jak wprowadzi UJ czterodniowy tydzień zajęć, to wprowadzi.
3379:  To wtedy się będziemy cieszyć.
3380:  Ja już się w ogóle nie cieszę zapowiedziami.
3388:  Mogę cię pocieszyć, że jeżeli uda ci się dojść do dźwini, która otwiera drzwi, bo zostaną one otwarte, nawet jeżeli cofnie ci do ławki, to jest pocieszające faktycznie.
3399:  Okej, okej, okej, okej, okej.
3406:  Ej, no co jest?
3409:  Dajcie mi się zastanowić.
3411:  Ta gra nie lubi, jak się zastanawia.
3413:  Człowiek bardzo nie lubi.
3416:  Jak śmiesz myśleć.
3421:  No ale tutaj nie możemy za bardzo pogować na tej pile rzeczywiście.
3425:  Ale dlaczego wy mówicie, że tam nie należy w ogóle pogować?
3428:  Jak to zrobić inaczej?
3435:  Mhm.
3440:  Gdy Krzysztof przechodził do Czech Pamiętania, ja zdawałem tekst angielski, a on pisze Blaise.
3444:  I jak poszło?
3446:  Pfff.
3454:  Nie, nie, nie, no naprawdę nie znoszę jak przenosi mnie dalej nagle niż skaczę.
3462:  Troszeczkę precyzji poproszę.
3468:  Nie, nie mogę się tam przesunąć nawet o jeden piksel na tej pile drugiej.
3473:  Zamiast pogoda, jesz dash i double jump?
3476:  A potem odbicie od ostatniej piły?
3478:  Przecież to musi... przecież double jump nie... Co ty mówisz, Andriowastra?
3483:  Przecież... Przecież jeżeli ja tutaj zrobię dash i zrobię double jump, to wtedy mnie na tę górną piłę przekieruje.
3494:  Dobra, spróbuję to zrobić.
3499:  Okej, no to trzeba zrobić z refleksem tak zwanym, którego ja nie mam.
3508:  Nie, bo bez pogowania ja się wbijam cały czas w kolce.
3515:  To jest problem.
3517:  Ja wiem, czy się da zrobić.
3518:  Pytanie jak?
3523:  Nie odznacza się wybitną precyzją, jeżeli chodzi o input reading.
3528:  W sensie nie input reading, jeżeli chodzi o output reading ze strony gracza.
3534:  Double jump tuż po tej górnej pile.
3536:  No właśnie, ja tak robiłem.
3539:  A po górnej pile.
3540:  He?
3542:  O Boże.
3556:  Dobra, nie wiem jak się tam przesunąć przy tym skoku.
3560:  Dlaczego masz dodatkowy dasz?
3562:  Wiem.
3562:  O nie, no naprawdę.
3570:  Wendek1, dzięki za wsparcie od 14 miesięcy, dzięki za polecenie w Wampa 1.1.
3575:  O, podobało się, proszę bardzo.
3585:  Nie wiem, czy mam dość szybki czas reakcji, żeby tam zrobić... O Boże, naprawdę, żeby tam zrobić... Widzicie, mi się nie chce czekać, aż to się zregeneruje i potem zużywam manę bez sensu.
3596:  Nie, zrobienie tego skoku jest autentycznie trudniejsze niż pogo na tym etapie.
3601:  Czep się ścianę nad piłą.
3602:  Jak?!
3605:  I dasz z niej? !
3620:  Aaa!
3625:  To jest ciekawe.
3633:  Okej.
3641:  Okej.
3643:  Ryzykowne, ryzykowne, ale krótsze.
3650:  Hmm.
3656:  Mhm, no tak.
3661:  To jest to zjeżdżanie, o którym mówię przez cały czas.
3663:  Swoją drogą, może to... Dziękuję, zniknąć.
3667:  Już się, już się nachwaliłem, że nie ma w tych cholernych kółeczek.
3674:  Muszę tutaj, nie wiem, muszę tu zrobić pogo albo coś?
3677:  Wtedy?
3677:  Nie mam pojęcia.
3679:  Pogo na pierwszej spadnie i dasz mały podskok, pogo na ostatni.
3682:  Ja chyba tego nie rozumiem.
3686:  Okej.
3686:  No to nie, jak robiłem pogo na górnej pile, to wtedy wbijał mnie w kolce.
3693:  To ta strategia lepsza z tym dashem tutaj.
3697:  O!
3713:  Ooo!
3714:  I teraz tylko pogo na końcu.
3721:  Jak dodałem moduł używany przycisku na klawiaturze, by się wyświetlały na ekranie.
3727:  To jest mały programik.
3730:  Pokażę wam go tak.
3732:  Który się nazywa NoBoard.
3735:  NohBoard się pisze.
3744:  A!
3745:  O!
3747:  Jaki save.
3748:  Dobra, teraz, żeby to powtórzyć.
3752:  Nie powtórzę.
3753:  Daretsuki pozdrowia z Japonii.
3755:  Pozdrawiam również!
3757:  Proszę zjeść w naszym menu dobre sushi.
3769:  Okej.
3770:  Bardzo szybko trzeba zrobić te dwa dasze.
3782:  Dawać mi manę moją.
3791:  Niewiele brakowało.
3793:  Gdyby tylko, gdyby tylko, gdyby tylko zadziałała podwójna spacja, ale oczywiście nie mogła zadziałać, ponieważ powody.
3814:  Nie, no nie rób mi takich rzeczy.
3819:  Naprawdę.
3822:  Okej, okej.
3824:  Wystarczyło przejść pierwszy poziom.
3826:  Mówiłem, że będzie najtrudniejszy.
3828:  To już jest łatwo, bo można sobie testować, sprawdzać, myśleć taktycznie, wypróbować różne rzeczy.
3834:  Checkpointy, tak?
3835:  Checkpointy.
3843:  Za wysoko.
3850:  Nie oglądam Victor Winder kanału Luland Koko teraz, bo są za małe jamniki.
3854:  Ja nie lubię, nie lubię oglądać małych istot.
3857:  Muszę poczekać aż... Nienawidzę zsuwania się po ścianie.
3861:  Muszę pocz... Nienawidzę zsuwania się po ścianie.
3864:  Muszę poczekać aż podrosnę.
3869:  Ostatni pokój Zach pierwszy.
3870:  Wiem, jaki jest ostatni.
3872:  Widziałem go.
3875:  Ale zaczyna się od checkpointu.
3876:  Natomiast pierwszy nie zaczyna się od checkpointu.
3879:  Pierwszy zaczyna się od niemożliwej wspinaczki, która teraz też by mi sprawiała trudność.
3884:  Ponieważ nie, nie byłem w stanie się jej nauczyć w żaden sposób.
3888:  No czemu teraz, czemu teraz nie działa spacja?
3890:  Wciskam spację, no litości, naprawdę!
3894:  Dziękuję.
3897:  Dobra, dobra, bo już zapomniałem, co tam jest.
3899:  Teraz tak, dasz, w odpowiednim momencie dasz,
3904:  Skok, pogo i dasz.
3911:  Za wysoko.
3917:  Potem będzie więcej pił, niestety.
3920:  Będziemy musieli czekać dłużej, to jest smutne.
3922:  O Boże.
3935:  Znowu za wysoko.
3936:  Cały czas za wysoko to robię.
3937:  Agata Gawrońska ma jamnicze urodziny.
3940:  Miałem powiedzieć, dobrze, to będą jamnicze urodziny.
3942:  Wszystkiego jamniczego dla ciebie.
3949:  Ale w Rzymie i w Pradze jest rzeczywiście absurdalna liczba jamników.
3952:  W ogóle Włosi uwielbiają jamniki.
3954:  Jest cudowne.
3959:  Co ja mam z tym zawczesnym daszowaniem?
3966:  Czemu tu się leczysz duszą mając HF Blood?
3968:  Ponieważ denerwuje mnie czekanie.
3971:  Jestem niecierpliwy.
3975:  O Boże, Pogo jeszcze teraz i byłoby dobrze.
3987:  No i teraz standardowo.
3992:  Eee...
3999:  Mhm, naprawdę?
4002:  No tak, oczywiście.
4006:  Trzeci raz jeszcze.
4006:  Ciekawe jestem, czy będzie czwarty.
4008:  Teraz już badawczo tylko sprawdzam, okej.
4013:  Nieważne.
4015:  Muszę się wyleczyć, bo w następnej nie będzie szrajnu.
4034:  Teraz za późno.
4037:  Jak nie urok, to sraczka.
4047:  To już nie jest etap, kiedy ja nie wiem, co zrobić, to jest etap, kiedy gra nie wie, co ja chcę zrobić.
4056:  Ja już wszystko wiem, co należy zrobić.
4058:  Teraz tylko muszę powalczyć z tym dziwacznym sterowaniem i będzie dobrze.
4076:  Ta muzyka jest tutaj dlatego, że to ostatnie co zostało w Cholestie po tym, jak Cholestowa dowiedziała się o rachunku ze sklepu z hardwarem.
4081:  Tak, absolutnie tak było.
4083:  Mhm.
4084:  Mhm.
4084:  Ale to jest zabawne, że czasem nie działa po prostu spad.
4089:  Po prostu nie działa, nie?
4111:  Dobra.
4114:  I teraz znowu, czy będzie... W którym Matrixie wylądujemy?
4116:  Czy będzie za późno, czy za wcześnie?
4122:  Noooo!
4126:  Ale boskie... Dobra, to na dole to jest Byte.
4139:  That's Byte.
4145:  Wlądowaliśmy we właściwym Matrixie, a teraz wlądowaliśmy w Syjonie.
4151:  Rany Boskie Krzysztofie Skiażkiem.
4154:  Dobra, ale moim zdaniem tutaj... Znowu trzeba opaść, dasz, podskok.
4161:  Tu same dasze.
4167:  Tylko nie wiem, co zrobić w drugiej części.
4176:  W drugiej części ześlizgujemy się po ścianie, robimy dash, podwójny skok i jesteśmy na ścianie.
4185:  Tak będzie.
4187:  Tu nie trzeba używać w ogóle tego pogo na dolnej pile.
4195:  Hmm...
4203:  Okej, to jest dokładnie tak wymierzone, tak sądziłem właśnie Dobra Dobra i teraz, teraz trudne dla mnie, to znaczy wymierzyć to czasowo Myślę, że jak to cholerstwo będzie wracało
4241:  First time, baby!
4245:  Chyba to był pierwszy, drugi, nie wiem.
4248:  Ale Krzysztof, następne pokoje cię pokonają.
4255:  Mówiłem, że pierwszy był dla mnie najtrudniejszy.
4263:  What now?
4266:  Dobra.
4268:  Ja już wiem, co tutaj będzie.
4273:  Filip, zdejmij przebranie krzycza.
4274:  Filip lamił tutaj, ale nie no, przecież Filip, moi drodzy, bardzo szybko podłapał, biorąc pod uwagę, że wcześniej nie grał w Hollow Knighta.
4281:  Ale Filip grał w Prince of Persia ostatnio.
4284:  Prince of Persia pożycza spory mechanik z Hollow Knighta.
4289:  Grać poprawnie rozpoznaje elematy i przeszkody platformowe.
4294:  Teraz to jest podwójnie adekwatne, biorąc pod uwagę, jaki mamy czas.
4297:  Dobrze, tutaj na pewno nie można podskakiwać, tutaj, gdzie są kolce, więc tutaj musimy podskakiwać.
4305:  Tam jest więcej kolców.
4307:  Nie chcę nic mówić.
4308:  Niedobrze, niedobrze, niedobrze.
4312:  Czy jesteśmy blisko checkpointu?
4317:  O!
4319:  Eee?
4322:  Czy to jest wymierzone dokładnie tak, jak ja myślę?
4325:  To jest wymierzone.
4328:  Tam popogo trzeba robić szybko dash.
4332:  Bo Pogo na tych kolcach, nie?
4334:  Tak.
4335:  Tylko ja muszę właśnie uważać, żeby to nie było za wysoko.
4338:  Michał Smykla jest tymczasem Jan Mikołajem i Kaldiland otrzymuje wsparcie.
4343:  Niuch, dziękuję serdecznie za wsparcie społeczności, moi drodzy.
4347:  Żeby dzisiaj filmić na scenie.
4348:  Filip w Łodzi.
4348:  Filip w Łodzi na froncie robót ostatnim.
4351:  Witamy Dominikę na mikrotwórczynie Klimczak na dalszych etapach Pal for Pain.
4356:  Od kolców się można odbijać.
4357:  Tak, tak.
4358:  Na razie mam problem taki, że to cholerstwo...
4365:  Okej.
4365:  Mhm.
4373:  Mmm...
4385:  O co kocham, to co kocham, na brzegu zbiera mnie hitbox.
4391:  Teraz odbija ci się zaposiadanie Mark of Pride, które za wysoko odbija.
4396:  No ale Mark of Pride mnie ratował, moi drodzy, wcześniej.
4404:  Nie mogę tego zrobić sprytnie jednym dashem.
