Za Aiur! | STARCRAFT 2 Livestream #6
🔗 https://www.youtube.com/watch?v=37NWlyITPD8

51:  Wielkie dziękuję.
2119:  Nie, nie zabieraj się jeszcze z archiwum burzowego światła.
2125:  Marchium Burzowego Świata już jest dla ludzi, którzy ogarniają mocno styl Sandersona, moim zdaniem.
2131:  Możesz jeszcze przeczytać Stalowe Serce, to jest taki fajny young adult.
2138:  Mass Effecta oceniam jak space operę.
2139:  Mass Effect, jeżeli chodzi o fabułę, jest fantastyczny.
2141:  Jeżeli chodzi o gameplay, bardzo się niedobrze zestarzał, co mówię z olbrzymim smutkiem.
2148:  Kiedy to było z przyjęciem kanału Dawida?
2150:  Wydaje mi się, że w zeszłym roku.
2152:  Nawet się zachowało to na jednym z naszych live'ów w zapisie.
2155:  Już nie pamiętam, którym, że były jamniki dla Dawida, czy coś takiego wspierające.
2160:  Pierwszy raz Simiel przyszedł mój komentarz.
2162:  Przyszedł Łukasz?
2163:  To będzie drugi.
2166:  W ten sposób zdjęli kanał, pisze Sara Temer, mojemu przyjacielowi.
2169:  Mały kanał, kilka tysięcy subów napisał do YouTube'a.
2171:  W odpowiedzi, bo od YouTube'a odpowiedział mu, że musiał się walić na ryj.
2174:  No, ładnie tak jest, niestety.
2178:  bo to są sieci partnerskie, ale sieci partnerskie równocześnie działają w ten sposób, że oszwabiają na swój sposób twórców, więc nie ma dobrego rozwiązania, jeżeli jesteśmy właśnie w sytuacji kolonialnej.
2190:  Pomyślcie sobie w takim razie, co mają ludzie, którzy faktycznie są z krajów, które moglibyśmy jeszcze klasyfikować, choć powtórzę, nie lubię tego określenia, jako kraje trzeciego świata.
2199:  Kapania Kerrigan skończona?
2200:  Tak, tak, dwa simy nam to zajęło.
2203:  Paweł Kicior, dziękuję za polecenie Warhammera Mechanicus.
2205:  O, cieszę się, to jest piękna gra.
2215:  Nie mogę przyspieszyć tempa gry chyba, tak mi się wydaje.
2219:  Nigdy tego nie robiłem w każdym razie.
2221:  Wydawało mi się, że tempo gry jest skorelowane z... poziomem trudności.
2229:  Ja się pytam, kiedy minęło siedem miesięcy, pyta dygresywny wilk.
2232:  Czas stop.
2232:  To jest dobre pytanie, dygresywny wilku.
2234:  Dzięki za wsparcie od siedmiu miesięcy.
2236:  Rozentuzjazmowana Konstantynopelitoniczka Wianeczka.
2239:  Znaczy, nie tyle trybutuje, co wspiera już od sześciu miesięcy.
2242:  Hejka, to już sobie pójdę.
2243:  Czemu chcesz iść?
2244:  Jak to?
2247:  Jak to?
2250:  Ile dziedzictwa pustki mi nie ominęło?
2252:  O, niewiele, niewiele na razie.
2254:  Niewiele, moi drodzy.
2255:  Dopiero zaczęliśmy.
2258:  O, Tomasz pisze, że używa się terminu globalne południe zamiast trzeci świat.
2262:  No proszę, nie słyszałem nigdy tego terminu.
2265:  Byście mnie zaskoczyli.
2267:  Boże, drogi, co tu się dzieje?
2270:  Boże, że mamy dużo radosnych tarcz.
2275:  Serdecznych tarcz.
2279:  Dobra, stanowczo jest za mała ta nasza armia.
2284:  bo trzeba więcej zelotów, bo trzeba więcej wszystkiego.
2288:  Nie spodziewałem się takiego oporu tam.
2293:  Problem YouTube'a jest to, że nie ma konkurencji?
2295:  Zawsze jest problemem to, jeżeli nie ma konkurencji, oczywiście.
2299:  Natomiast myślę, że problemem jest głównie, miałem powiedzieć Kathleen Kennedy, bo ona jest bardzo podobna do Kathleen Kennedy osobowościowo.
2306:  Nie, problem YouTube'a jest Susan Wójcicki.
2311:  Sarek, dziękuję za polecenie głębi.
2313:  Bardzo się podobał mi o koleżance.
2314:  Czy znasz książkę, która...
2326:  Nie skomentuję tego.
2328:  Czy znasz książkę, która opowiada historię od strony osoby władzy, np.
2331:  króla czy przywódcy w sci-fi?
2333:  Nie wydaje mi się.
2334:  Dobra, to pozwoli nam uchronić się od tego fuck-upu, który zrobiłem wcześniej.
2342:  Uwielbiam misje na czas.
2344:  Uwielbiam misje na czas.
2346:  Kocham misje na czas.
2347:  Czy wspomniałem, jak uwielbiam misje na czas?
2351:  Misje na czas są antystrategiczne.
2356:  Czy Duna jest z perspektywy władcy?
2358:  W sumie tak.
2360:  Przynajmniej na kolejne tomy, prawda?
2366:  To niemożliwe!
2375:  Czy na konale kiedyś będą gry Paradoxu?
2377:  Tłumaczyłem kiedyś Rychu, że moim zdaniem gry Paradoxu średnio się nadają na streamy.
2382:  Przy całym moim ulubieniu dla... ulubieniu dla nich.
2387:  Uwielbieniu.
2388:  Dlaczego powiedziałem ulubieniu?
2389:  Nie mam zielonego pojęcia.
2391:  Dobrze.
2394:  Co sądzę o misja na czas?
2396:  Pytam Matt Peterson.
2397:  Funny you mentioned that.
2399:  Nie znoszę.
2399:  Rui niedługo rozpocznie kolejny atak.
2406:  Ale widzicie, pamiętałem, że coś tutaj było nie tak, bo jak czytałem czaty, to zatrzymywałem na początku.
2415:  Z perspektywy Króla Rysław poleca planszówkę Dylemat Króla.
2418:  Gdzie są jamniki powitalne dla Rysława, moi kochani, jak jest Rysław z nami?
2422:  Cześć Rysław, było, że wpadasz.
2426:  Grubysław pisze, że też nienawidzi myśli na czas.
2428:  Znaczy ja nie wiem nigdy, co one sprawdzają ponad umiejętność szybkiego klikania, bo na pewno nie sprawdzają umiejętności myślenia strategicznego, bo nie da się myśleć strategicznie tak szybko, chyba że jest się sportowcem.
2438:  Ja generalnie nie jestem zdania, że gry powinny trenować esportowców.
2441:  Okej, przynajmniej... Aaa, w sumie... Poradzimy sobie z Kerrigan.
2451:  Może sobie nie poradzimy.
2456:  Ej!
2457:  I co teraz?
2460:  No przepraszam, co to było? !
2468:  Dlaczego nasza armia została zablokowana?!
2474:  No co to znaczy?!
2478:  Jak tak można?!
2479:  Volatel, z kim dzięki za wsparcie od 4 miesięcy.
2481:  Miłego dzionka, dzięki ci serdecznie i wzajem.
2485:  No przecież ja po prostu dostanę szału.
2492:  Jak nie urok, to sraczka.
2498:  Jestem tu, w mroku.
2500:  Krzysztof, zacznij krzyczeć, na razie czuję, że jestem na streamie.
2504:  Jeszcze nie zostałem tak rozwścieczony.
2510:  Jaka jest geneza tej emotki?
2511:  pyta Kolew.
2511:  To jest kremówka.
2515:  Myślę, że to powinno ci już wiele powiedzieć.
2523:  Nie, nie lubię grania na normalnym i na średnim StarCrafta, właśnie z uwagi na tempo rozgrywki.
2530:  Małe jest wyzwanie wtedy bardzo.
2533:  Brutalny jest sympatyczny, natomiast nie ma sensu grania na brutalnym na Steamie, bo wtedy w ogóle bym nie mógł czytać żadnych czatów.
2544:  Nawet Grand Master StarCrafta, czyli Lowko, nie czyta czatów podczas brutalnej rozgrywki, więc czuję się usprawiedliwiony.
2557:  Dobrze, tutaj sobie zaraz odbudujemy w takim razie nasz Nexus i wcześniej wyprowadzimy tutaj próbniki stąd.
2568:  Tak, myślę, że tak, teraz.
2574:  Skąd się wziął rzygający jamnik?
2575:  To jest dobre pytanie.
2578:  Czy rozważałem blokowanie roju przez budowanie fortyfikacji na ich drodze?
2581:  Tak, robiłem to kiedyś na brutalnym poziomie.
2584:  Da się to zrobić, ale jest to dość upierdliwe.
2592:  Dobra.
2597:  Przestań mi mówić o czasie!
2601:  Przestań, niewiele czasu.
2606:  O, to jest dobre pytanie, Smoczyni.
2608:  Skąd się wzięło rzyganie we wszystkich gra?
2610:  Otóż to.
2612:  Absolutnie nie ma niczego złego w grze, nawet na najniższym poziomie trudności.
2615:  Ba!
2615:  Ja do tego zachęcam.
2616:  Po prostu są takie gry, które znam na tyle dobrze, że już dla mnie nie ma wyzwania.
2623:  I zbudujemy tutaj troszeczkę pylonów.
2626:  Tak.
2626:  Tak.
2631:  Ja bardzo jestem przeciwny elitystycznemu mówieniu, że jeżeli ktoś chce grać w jakąś grę, to ma się nauczyć grać na poziomie brutalnym.
2640:  Zwłaszcza, że poziom brutalny czy poziom legendarny rzadko kiedy jest projektowany dobrze.
2644:  Dobrym przykładem jest Warhammer Fantasy, mój ukochany, czyli Warhammer Total War, gdzie mamy niby poziom legendarny, a on się sprowadza do tego, że AI ma nieprawdopodobne cheaty do dyscypliny wojsk,
2657:  do ruchu i do utrzymania.
2660:  Czyli to nie są rzeczy związane z, nie wiem, szybkością reakcji, planowaniem taktycznym czy czymś w tym rodzaju, absolutnie nie.
2667:  Czy ciekawe gimiki mają Protosi?
2668:  Oj, mają, dygresywny wilk, spodobają ci się.
2671:  Tylko musimy wpierw przejść do misji, w której odblokujemy te wszystkie rzeczy.
2676:  W zasadzie tutaj będzie najwięcej mocy w tej kampanii, różnego automramentu.
2684:  Tum, tum, tum, tum, tum.
2690:  Tak, ale są dobre AI, na przykład AI, która właśnie gra w StarCrafta, jest bardzo inteligentna.
2696:  To jest ciekawe.
2703:  Tak, tak, szybko, szybko, bo się poruszamy przecież bardzo wolno.
2706:  Dobra, Ctrl-Q.
2711:  Teraz tak.
2716:  Będziemy musieli pomagać Terranom, tak to się skończy.
2721:  Dobrze, chcę tutaj pylon.
2735:  Dobra.
2739:  Mamy to.
2741:  Prawdopodobnie.
2751:  Okej.
2760:  Odblokujmy ten ostatni pylon tutaj.
2771:  O Boże.
2773:  Dużo tutaj jest tych sił.
2787:  Dobra.
2793:  Dobra, mamy wszystko.
2794:  Czyli teraz tak, jeżeli Kerrigan będzie atakowała ten przyczółek naszego wroga, to paradoksalnie będziemy musieli mu pomóc.
2807:  Hehe.
2812:  Tak, ja pomyliłem trasy wcześniej.
2814:  Muzyka w tle jest prześliczna.
2816:  W ogóle muzyka z Legacy of the Void jest moją ulubioną.
2819:  No właśnie i teraz będziemy musieli... Wiecie co zrobimy?
2823:  Poczekamy aż zaatakują.
2828:  I zaatakujemy ich od tyłu.
2834:  Teraz.
2842:  O, jest niedobrze.
2846:  Ale przynajmniej częściowo im pomogliśmy.
2848:  Ich obrona jest coraz silniejsza.
2849:  Przyjdźcie naprzód ze wszystkich sił!
2854:  Chybrydy są wolne.
2862:  Zabijcie je!
2862:  Boże, drogi.
2864:  Może być ciężko, moi drodzy.
2869:  Może być ciężko.
2872:  Myślę, że to jest o wiele bardziej na czas misja, niż pamiętałem.
2892:  Bogowie!
2896:  Z ledwością to się uda.
2903:  Bogowie.
2907:  Jeszcze Pola Minerałów jest wyczerpane.
2910:  No, no, no.
2914:  Może się omsknąć.
2926:  Czemu nie wspominasz o Lowco?
2929:  Indie StarCraft?
2929:  Nie kojarzę, co ciekawe.
2936:  To Taldarimowie porywali Templariuszy.
2940:  Wprowadzali nas do tej stacji Terran.
2944:  Zmieniali nas w hybrydy.
2947:  Taldarimowie?
2949:  Ci heretycy nigdy wcześniej nie zapuścili się tak głęboko na nasze terytorium.
2954:  To musi być sprawka Amona.
2956:  Templariuszu, gdzie was przetrzymywano?
2960:  Świątyni Xel'naga nie przypominała niczego, co widziałem.
2967:  Nazywała się Elis, ale jej położenie trzymano przed nami w tajemnicy.
2975:  Gwardia Mobiusa i Taldarimowie słuchali oskazów Larunda.
2980:  On powinien wiedzieć, gdzie znajduje się świątynia.
2993:  Lubosz pisze, że wpadło randomowo zajakniczyć.
2999:  Najpiękniej.
3001:  Dobrze mamy to moi drodzy.
3015:  Coś kojarzę Indy StarCraft, ale chyba nie widziałem jego komentarzy.
3019:  Teraz zaczynam myśleć na temat tego intensywnie.
3025:  Czy znasz gatunek Grand Strategy w sci-fi?
3028:  Czy nie byłoby pięknie zagrać w StarCrafta Total War?
3030:  O Jezu, oczywiście, to byłoby wspaniałe.
3033:  Czy nie sądzisz, pyta Tomasz, że generyczność Wings of Power wynika z tego, że scenariusz napisał algorytm, a całość to jeden wielki eksperyment?
3040:  Znaczy, ja myślę, że ten scenariusz napisał po prostu bardzo nieutalentowany scenarzysta, ponieważ algorytm napisałby lepsze dialogi.
3061:  Moje siły zabezpieczyły miejsce nieopodal Telnów Świątyni i jesteśmy gotowi do ataku na Daldarimów.
3068:  To będzie prawdziwie wie...
3081:  Świątynia Eris.
3084:  Za tymi prastarymi murami kryje się nasza ostatnia nadzieja.
3090:  Paldarimowie, zamknąć świątynię.
3093:  Nikt nie może wejść, dopóki nie skończę dzieła.
3097:  Wielki Wódz przeleje krew każdego, kto sprzeciwi się moim rozkazom.
3103:  Wielki wódz Taldalimów jest tutaj.
3108:  Śledów róży.
3110:  To nie koniec naszych problemów, Zeratul.
3113:  Ten świat jest w agonii.
3117:  Rezerwy Vespanu pod powierzchnią są niestabilne.
3121:  Planeta znajduje się w stanie nieustannych erupcji.
3126:  Te szczeliny to ostatnie dostępne źródło Vespa.
3131:  Będziemy musieli je opanować, żeby stworzyć armię.
3136:  Modlę się, by twoja świątynia okazała się tego warta.
3143:  Potrzeba złota.
3144:  Potrzeba więcej złota.
3147:  Za mało złota, mój panie.
3150:  To jest misja, w której będzie za mało złota.
3152:  Niestety.
3154:  Bardzo mnie to zasmuca.
3155:  Mamy star... Mamy ciekawe rzeczy.
3162:  Nie pamiętam kompletnie tych misji, to jest niesamowite.
3167:  Zaczynam się cieszyć z tej mojej dysfunkcji, którą mam.
3169:  Kompletnie nic nie pamiętam.
3188:  Budaj się zabierał z oglądania Hunter vs Hunter, niedawno dodane na Netflixie, moim zdaniem warto ją obejrzenia, pisze Angelika, mimo że dali tylko połowę odcinków.
3195:  To trochę odpowiedziałeś sobie na to pytanie, bo jeżeli jest tylko połowa odcinków, to ja muszę poczekać, aż będzie całość.
3206:  Dobra, więc tak, to będziemy mieli pod dwójeczką.
3213:  Potrzebny jest jamnik mówiący, że jest za mało złota.
3216:  Tak, oczywiście.
3218:  Dajcie mi tylko znać, jak YouTube wreszcie będzie miał mówiące jamniki.
3221:  Mówiące emoji, to będzie wspaniałe.
3232:  A, z ponad 100 odcinków?
3237:  Tango Mrożka?
3238:  Mam bardzo ambiwalentny stosunek wobec Tango Mrożka.
3243:  To są rzeczy o niczym.
3248:  Jestem w stanie o Drodze Królów Sandersona mówić bardzo długo.
3251:  Przynajmniej tak długo, jak pamiętam.
3254:  Nie jestem w stanie mówić czegokolwiek o komedii, która jest obyczajowa w gruncie rzeczy.
3260:  Obyczajowe rzeczy nigdy nie interesowały.
3262:  I to wiecie, tu nie doleżyło do tego, czy to jest tango, mroczka, czy to jest to miś.
3266:  Jezus Maria, jak nie rozumiem ludzi, którzy się podniecają misiem.
3274:  Dobrze.
3280:  Mówiące emoji to był najgorszy koszmar.
3282:  Zwracam uwagę na to, że już są różnego rodzaju mówiące koszmary na YouTubie, to znaczy rozwiązania typu ktoś coś trybutuje i wtedy jest jakiś wrzask z głośników.
3292:  Koszmar absolutny.
3295:  O tak, to jest misja, przy której się przydadzą rzygające jamniki, ponieważ rzyga ziemia o to.
3301:  Ale wiecie, co jest piękne?
3302:  Nie ma czasu.
3303:  To nie jest misja na czas.
3305:  Możemy spokojnie się rozbudowywać i to jest wspaniałe.
3319:  Ok, siły szturmowe.
3320:  To damy radę siłom szturmowym bez najmniejszego problemu.
3325:  Eee... Dobrze.
3329:  Nie mamy Vespanu.
3330:  To jest tylko słaba informacja.
3332:  Bardzo słaba informacja.
3333:  Boże, czemu ja tak robię?
3334:  Dobra.
3345:  Cały Vespan teraz będziemy musieli wykorzystywać do tworzenia najbardziej godnych zaufania jednostek.
3356:  JoJo?
3358:  Było oglądane, tak.
3359:  Pierwszy sezon.
3361:  Długo jeszcze nie zabiorę się za kolejny.
3366:  Dobra, kontrolki.
3371:  Więcej Vespanu!
3374:  Potrzebni są nam zeloci w wielkiej liczbie.
3377:  A skoro zeloci, to także wartownicy.
3380:  Aha, i pylony.
3381:  Naturalnie, że nie mamy pylonów.
3383:  Czy mnie to kompletnie nie dziwi?
3384:  Nie wiem, dlaczego pytacie mnie, skąd rzyganie.
3388:  W każdej grze jest rzyganie.
3392:  W każdej grze.
3394:  Kształt nie potrzebuje wiele, by zachwycić światem, wystarczy brak czasu, by... Nie przestanę zwracać uwagę, jak bardzo jest to istotne i jak bardzo problem z czasem jest generowany przez polski system szkolnictwa i nie tylko polski w tym momencie, bo niestety wszyscy się onanizują teścikami, które są na czas obrzydliwe.
3422:  byłbym w stanie w srodze pokłócić się z każdym, kto by usiłował mi udowodnić jakokolwiek przydatność pisania czegokolwiek na czas.
3439:  Następuje kolejna erupcja.
3439:  Zaznaczam lokalizację szczęki.
3440:  Nie kiedyś, tylko od jakiegoś czasu już zaczynam mówić, o, możemy mieć zakład robotyki, to nie jest zły pomysł.
3446:  Więc od jakiegoś czasu zaczynam mówić ludziom, że jeżeli się tak strasznie podniecają tym, że wszystko musi być obiektywne, to w nauce jest zasada zachowywania obiektywności pomiaru.
3456:  Do zachowania obiektywności pomiaru konieczne jest wykluczenie wszystkich czynników zewnętrznych.
3461:  Więc jeżeli ktoś źle reaguje na stres związany z czasem,
3464:  to zawsze wszystko źle zrobi, w związku z powyższym pomiar jego... obiektywny pomiar jego umiejętności jest zakłócony wtedy.
3475:  Jeszcze nie znalazła się taka osoba, która byłaby w stanie znaleźć na to ripostę.
3480:  W związku z powyższym spodziewam się, że riposta będzie brzmiała... Nie, nie, nie znasz się!
3490:  Właśnie George R. R. Martin źle pracuje nad Grą o Tron od czasu, kiedy ludzie trują mu dupę o to, kiedy napisze kolejny tom.
3496:  To samo jest z Patrickiem Rothfusem.
3499:  Jeden i drugi bardzo źle reaguje na tego rodzaju presje.
3506:  Widzisz, to jest dobry przykład od tej strony.
3510:  Takset pisał co, nie wiem, pięć lat, co siedem, spokojnie, a potem zaczęła się presja.
3519:  Tutaj mamy kolejny Vespan, ale obawiam się... a dobra, tędy możemy zejść, nie zauważyłem tego w ogóle.
3529:  W sumie mógłbym wciskać w... albo F2, nie.
3534:  Jeszcze nie ma tej opcji chyba.
3539:  Niektóre praktyczne umiejętności wymagają określonej dyscypliny czasowej.
3541:  Jakie?
3545:  Jakie i czy to są umiejętności, które trzeba kształcić u wszystkich w edukacji powszechnej?
