🔴 WIEDŹMIN (SEZON 3) — odcinek 3-5 | Recenzja ze spojlerami #2
🔗 https://www.youtube.com/watch?v=Wiw-Gb3mWek

196:  Wiecie co, w sumie odcinek trzeci nie jest taki zły.
6067:  Znaczy, nie macie zielonego pojęcia, co się dzieje na ekranie.
6070:  Żebyście dobrze mnie zrozumieli, bo będę mieć bardzo dużą trudność z rekapitulacją tego odcinka.
6076:  Sekwencje, które się tutaj pojawiają,
6078:  A pojawia się tutaj na samym początku analogiczna sekwencja, jak na samym końcu poprzedniego odcinka.
6086:  Powtórzą się trzy razy.
6089:  Przez cały odcinek.
6092:  Za każdym razem.
6094:  I ja nie jestem w stanie zrozumieć, dlaczego to się dzieje, ale uważam, że dobrym asumptem do rozpoczęcia tego jest pokazanie wam jeszcze raz, że nie wymyśliłem sobie, że Mistrz Paihiwo się pojawił w tym serialu.
6105:  I wszyscy recenzenci mówili, że to jest wybitne rozwiązanie fabularne, bo tutaj mamy na początku, że to jest, wiecie, niby tam
6111:  Och, jaki piękny filmowy kadr, jak z reklamy Battery Duracell.
6115:  Że tutaj Yennefer niby tam ho ho ho jakieś przygotowania, jakieś makijaże, jakieś rzeczy.
6121:  Przede wszystkim trzeba było fantastyczną suknię ubrać.
6124:  Myślę sobie, że, że... Znaczy nie, nie żebym jakoś jakoś przesadnie znał na sukniach, ale no nie uznałbym jej za najbardziej elegancką, powiedzmy tak bardzo ładnie.
6132:  To będzie sztuka Deziluzji.
6134:  We Witcher, proszę bardzo, tutaj dwie figury tańczą, bo, bo wiecie, bo... bo bal.
6140:  bal woperze, jakby powiedział Tuwim, co mi przypomina, że w zasadzie powinienem pokazywać wam te wszystkie sceny z balu woperze, cytując bal woperze Tuwima, a mianowicie na przykład mogę powiedzieć tutaj, bo jest taka sekwencja, gdzie Yennefer przedstawia Geraltowi wszystkie czarodziejki i mówi na przykład, że Sabrina Glewisig będzie się charakteryzować tym, że jest niesłychanie ponętna, w nawiązku z powyższym możemy sobie zacytować za Tuwimem Uda Uda Dami Dami Gene Orde Dzwonirami, nie?
6166:  że wiecie, że uda, że da mi i generał dzwoni orderami, ale to są takie ładne zabawy językowe, nomen omen, które czyni Tuwim, więc wiecie, seks, tak?
6176:  Więc o to samo chodzi w tej scenie, bardzo przydługiej, nomen omen i NFR.
6181:  Dawidzie, dziękuję serdecznie za trybut, sztuka iluzji tak dobra, że nadal nie rozumiemy.
6185:  Ja musiałem dwa razy obejrzeć, żeby wiedzieć, o co chodzi, znaczy nie w tej scenie, bo w tej scenie wiem, że chodzi o to, że Sabrina Glewisik, która jako jedyna wygląda jak czarodziejka,
6193:  będzie usiłowała flirtować z Geraltem bardzo intensywnie.
6197:  Wiecie, kto to jest, nawiasem mówiąc?
6199:  Nie wiem, czy ktokolwiek na czacie wie, kto to jest, bo to jest czarodziejka, okej?
6203:  Ale kto to jest?
6211:  Ja wiem.
6213:  Ja wiem, pisze Grim Lukas.
6214:  Tak jest Mortil, tak jest Flaminguel, to jest Keira Metz, tak!
6218:  Od razu poznałem.
6220:  Szkoda, że nie wygląda tak w grze.
6221:  Myślałbym sobie, że można byłoby uprościć sobie życie w ten sposób, ale nie.
6225:  Tutaj są świeczki intencyjne.
6226:  Wiecie, za każdym razem, jak do Aretuzy przychodzi jakiś mag, to mag wtedy... Wiecie, co robi każdy mag?
6233:  Ja wam powiem, co robi każdy mag.
6235:  Mag mianowicie idzie do Aretuzy,
6247:  Błagam, bogowie!
6250:  Tylko żebym się nigdy nie pojawił w serialu Netflixa!
6253:  I zapala świeczkę na te intencje, okej?
6255:  Za każdym razem się to dzieje.
6257:  Więc stąd mamy ten świecznik.
6259:  Tutaj wszyscy magowie, wszystkie maginie.
6261:  Popatrzcie, ile świeczek jest zapalonych.
6263:  No i no niestety, w Królestwach Północy, jak widać, bogowie nie istnieją, więc wszystkie te intencje poszły w gwizdek.
6270:  A zatem, no trudno, bardzo mi przykro, serial się odbył.
6273:  I jest tutaj również wąż, który swoje sploty wężowe ma w okolicy naszych bohaterów, żebyśmy pamiętali o konotacjach seksualnych.
6280:  Yennefer tak patrzy na tę Sabrinę i myśli sobie, jasna cholera, dlaczego ja nie mam takich filtrów na Insta jak ona?
6287:  No przecież Geralt, zobacz, jak wygląda Sabrina, nie?
6290:  Geralt, Geralt, Geralt, gdzie patrzysz, Geralt?
6292:  Geralt?
6293:  Geralt?
6294:  Geralt?
6296:  Nie patrz na niego, Geralt, patrz na Sabrinę.
6300:  Geralt nie słucha Yennefer, Geralt nie chce spojrzeć na Sabrinę, mimo że, proszę bardzo, i Yennefer mówi, Geralt, zobacz, ja też chcę mieć takie filtry, no przecież...
6312:  Margarita, ja, wszystkie rozmawiamy z... Jakich speli używa Sabrina, żeby tak wyglądać?
6317:  No przecież ile się już uczę w tej aretuzie?
6320:  No mogłabym wreszcie się nauczyć, tak?
6323:  Co, czy ona wykupiła subskrypcję może u Mety, że jest zweryfikowana i dzięki temu ma takie dobre filtry?
6329:  Geralt, co ja robię nie tak?
6331:  No więc niestety Yennefer się nigdy tego nie dowie.
6334:  Geralt natomiast, ponieważ jest dżentelmenem, a nie tylko wiedźminem, odpowie, że tak naprawdę najpiękniej...
6340:  W samym polu wygląda jeden wers.
6353:  To zdanie naprawdę pada.
6356:  Ja bym sobie tego nie wymyślił.
6362:  No okej, znaczy, no dobrze, okej, w porządku, w porządku.
6366:  Ta tajna umiejętność, za którą zapłaciła Pistek.
6369:  Czemu tylko Sabrina wygląda jak Vlore?
6370:  Nie mam zielonego pojęcia.
6371:  A nawiasem mówiąc, Sabrina nie wygląda dokładnie tak jak Sabrina, ona wygląda dokładnie tak, jak jest opisywana Margarita Loantil.
6377:  Nie pamiętam w tym momencie dokładnie, jaki jest jej opis w powieści, ale może mi się uda go szybko znaleźć dla was, bo jest bardzo zabawny w kontekście tego, co widzimy.
6387:  Margarita Antil.
6390:  Dobrze.
6391:  Może będzie czarodziejka, lektorka Aretuzy.
6393:  Czy jest jakiś cytat tutaj?
6394:  Bo ja oczywiście nie mam możliwości takiego błyskawicznego sprawdzenia tego, ale niestety nie ma tego wspaniałego cytatu, który opisuje jej wyłgląd.
6403:  Zasmuca mnie to.
6403:  Będę bardziej przygotowany następnym razem, moi drodzy.
6406:  A w każdym razie, bo bal na tanet poważna sprawa.
6410:  No nie będę wam, moi drodzy, streszczał wszystkich tych intryg politycznych, które tu się dzieją.
6414:  Całość jest, powiedzmy, w miarę dobrze zrobiona w stosunku do tego, co się dzieje w powieści, jeśli w ogóle można to porównywać ze sobą.
6422:  Co mi się podobało?
6423:  Bardzo mi się podobał sposób, w jaki jest rekapitulowany ten bal, to znaczy cały pomysł z tym, że Geralt z Yen rozmawia już w nocy o tym, co im się udało zrobić, każde dorzuca swoje własne wspomnienia, jest fajnie zrealizowany, to jest przynajmniej jakiś powiew scenariopisarskiej świeżości w tym serialu.
6439:  Problem natomiast polega na tym, że to w jakiś sposób Sapkowski dowcipnie opisywał te interakcje z czarodziejkami, że Geralt cały czas, jak to wiecie, no, wiedźmin, tak, podatny nie dość, że na uroki czarodziejki i niewieście, to jeszcze do tego wszystkiego, no, niewprawny w magii, więc one tam nim obracały cały czas w kółeczko i to było, no, niesamowicie sympatycznie do czytania, miało się takie schadenfreude.
6461:  jak się to wszystko oglądało, zwłaszcza jeżeli człowiek, tak jak ja, sprzyjał magom, a nie wiedźminom, więc ja miałem niesamowitą uciechę, jak to czytałem.
6468:  A tutaj jest troszeczkę odwrócona perspektywa i cały czas patrzymy na to nie z oczami Geralta, co jest całym problemem tego serialu, tylko patrzymy oczami jakiegoś trzeciego obserwatora, który zupełnie nie ma tego polotu, lapidarności i dowcipu Geralta.
6480:  Dawid pisze, że to jest sztuka iluzji, bo tak naprawdę Sabrina to jest Margarita.
6483:  O!
6484:  O!
6486:  To jest suknia fajna.
6487:  Mam nadzieję, że nie mówimy o mojej.
6489:  Mam dzisiaj akurat koszulę na szczęście.
6491:  To jest fajna suknia.
6492:  Tak, moi drodzy.
6493:  To jest suknia, którą powinna mieć Magini.
6496:  Zresztą Tisaja De Vries jest jedną z... Mam nadzieję, że tak się uczyta, bo ja zawsze mam problem z tym, jak czytać nazwę Usapkowskiego.
6502:  Jest jedną z lepiej wykastowanych w ogóle osób w całym serialu.
6504:  Chciałbym więcej czegoś takiego.
6506:  Czemu Jan wygląda jak żona Wezyra?
6507:  Ponieważ wszystko tak naprawdę to nie jest Hollywood, tylko Bollywood, moi drodzy.
6511:  O, tak.
6512:  Ktoś ma cytat... O!
6515:  Arkadiusz ma cytat o Margaricie.
6516:  Na widok nagiej Margarity Loanti pokraśniałyby z zawiści nawet marmurowe posągi bogini i nimf.
6523:  No właśnie.
6524:  To jest ta... Tak.
6527:  Tak właśnie.
6529:  To jest, kojo drogo, Filipa.
6530:  Mówiłem wam, że nie poznaję Filipy, ponieważ ona zawsze ma coś cudacznego na włosach?
6535:  Kirielejson.
6536:  Tisaya dobrze wykastowana, bo z Wiedźmina III przyszły takie... Proszę bardzo.
6541:  I będziemy obserwować z różnych stron wszelkiego rodzaju interakcje między gośćmi na balu na Thanet, bo tak, jesteśmy w balu na Thanet, abyście się nie zorientowali, to jest cały czas aretuza, która jest na Thanet i tam nie ma żadnego innego budynku.
6555:  I biedny Geralt strasznie cierpi z wielu przyczyn.
6557:  Po pierwsze otaczają go czarodziejki, po drugie otaczają go różni spiskujący ludzie, po trzecie został ubrany w najgorszy możliwy strój, w jakim mógł zostać ubrany.
6564:  To jest ten Kubrak, który dostajemy, moi drodzy, na pierwszym levelu w Wiedźminie III Dzikim Gonie i robimy absolutnie wszystko, żeby się go pozbyć.
6572:  Powiedział Krzysztof, który równocześnie kazał swojemu Geraltowi założyć wielki, fioletowy dziób, w którym paradował przez wszystkie streamy.
6578:  Tak.
6581:  No i tańce, moi drodzy, swawola i w którymś momencie, absolutnie nie żartuję, cały czas przygrywa nam Marks, tak, wado Marks, żebyśmy zapamiętali, że hoho, że iluzja, że nic nie jest takie, jak się nam wydaje.
6597:  No źle się tego słucha, zwłaszcza, że muzyka jest zapętlona, w związku z powyższym macie taką niby sugestię, że cały czas się zdarza to samo, ale nie da się tego znieść absolutnie.
6606:  Sztuka iluzji Trista, 25-letnia Molly Wesley.
6609:  Trochę tak, przypomina Molly Wesley, jest to prawda.
6612:  A Molly Wesley przecież przesympatyczna bohaterka, prawda?
6615:  Tylko kompletnie byśmy nie potraktowali jako członkini wpływowej loży czarodziejek, tylko właśnie taką dobrą mateńkę Molly, o taka babcia Esme Weatherwax.
6624:  Molly mogłaby się spokojnie Wesley na starość przekształcić w Esme Weatherwax.
6629:  Czy Esme Weatherwax nie jest potężna?
6630:  Oczywiście, że jest potężna.
6631:  Czy pasuje do roli smukłej czarodziejki z aretuzy?
6635:  Nie.
6637:  Nie wiem, kto ubrał Yennefer na... Znowu, ja się nie znam na strojach specjalnie, zwłaszcza kobiecych, ale mogę powiedzieć jedno, że generalna rada, jeżeli chodzi o ubieranie się, brzmi, żeby podkreślać wszystkie atuty swe, a nie atuty nie.
6655:  Tyle.
6655:  No na przykład ja unikam stanowczo wychodzenia na wykłady w takiej... Wiecie, może znacie taki serial, film, który się nazywał Borat.
6667:  I Borat miał taki bardzo charakterystyczny strój.
6669:  Ja wam pokażę strój Borata, żebyście wiedzieli, o czym mówię.
6674:  O, mianowicie Borat wyglądał w ten sposób i ja...
6678:  Nigdy nie zaryzykowałem, żeby pójść w ten sposób na uczelnię, tzn.
6683:  mam takie niejasne wrażenie, że mógłbym wyglądać podobnie jak Borat i nie wyglądałoby to zbyt dobrze,
6690:  Więc zasadniczo powstrzymuję się od tego rodzaju wyborów odzieżowych.
6696:  I wydaje mi się, że to jest ta jedna rada, z którą bym pozostawił kostiumografów Netflixa, żeby podobne decyzje przedsiębiorali w stosunku do absolutnie wszystkich z sobą włącznie.
6704:  I swoją drogą dotyczy to również Henry'ego Cavilla.
6707:  Chociaż ze smutkiem stwierdzam, że naprawdę mężczyźni w tym serialu nie są tak boleśnie doświadczeni przez kostiumografów,
6713:  Okej, zmieniam zdanie, jednak są bardzo boleśnie doświadczeni przez kostiumografów.
6718:  Przypomniałem sobie Jaskra, ale teraz zobaczyłem, jak wygląda Istred, bo chyba to jest Istred, jeśli mnie pamięć nie myli.
6723:  No nie wygląda to dobrze.
6726:  Więc wszyscy, moi drodzy, równomiernie są doświadczeni źle przez kostiumografów.
6732:  straszne, przerażające, naprawdę za kostiumy ten serial powinien dostać złotą malinę, jeżeli daje się coś takiego, za coś takiego złotą malinę.
6741:  Na 500 tysięcy zł Krzysztof ubiera strój brata na uczelnie i przestaje tam pracować tego samego dnia.
6747:  To jest nawiasem mówiąc mina, którą miałem przez cały ten odcinek praktycznie.
6751:  Do czego to służy wszelako?
6753:  Tego nie wiem, czy to jest po prostu jakiś... A!
6755:  Właśnie, właśnie, właśnie, ważna rzecz, światotwórcza, bo mało dzisiaj światotwórstwa było.
6759:  Co powinno być na balu magów?
6767:  Może magia?
6770:  Takie zaklęcia magiczne jakieś, tak, żeby widać było, że to magia?
6778:  Zwłaszcza w odcinku, który się nazywa Sztuka Iluzji, do ciężkiej cholery!
6784:  je weźmy pod tera, tak?
6787:  Wchodzicie do wielkiej sali, dzieją się rzeczy magiczne, co powinno być na przyjęciu.
6792:  Magów piszer, Dafra, Van Ribbon, kurczak, oczywiście, że powinienem mieć kurczak, i menhiry!
6799:  Więc fontanny, moi drodzy, jakieś wspaniałe.
6802:  Może nie z białym płynem, jak sugeruje Sadre, ale może na przykład z brąz... Nie, z brązowym też źle, bo ja naprawdę miałem na myśli czekoladę.
6810:  Wszelako!
6811:  Rzeczy mogłyby być tam magiczne.
6813:  Niech to będą...
6814:  flamingi z cukru, które fruwają, przecież tylko mi jedno, nawet już niech, może być nawet już magia wody, no naprawdę, niech będzie magia wody, powietrza, może być nawet magia ziemi, może nawet jakaś, niech Yennefer w koncie trenuje z Ciri to, wiecie, ruszanie kamieniem, które było w pierwszym odcinku, no cokolwiek, tak?
6834:  Ale nie, tutaj będę mieć jakiś dziwny, jakąś czarę ognia, która jest wygaszona, albo jakiś lampion z dzielnicy czerwonych latarni, który nie jest czerwony, no
6842:  To dramat absolutny, więc nie czujecie w ogóle, że to jest Bal Magu, absolutnie nie czujecie, wszyscy sobie tańcują i w którymś momencie zresztą wykrzykiwana jest nazwa tańca, który autentycznie, nie żartuję, brzmi Melange.
6857:  Więc do wszystkich crossoverów, które mieliśmy, a pamiętajmy, że było ich już sporo, bo między innymi był crossover do, proszę bardzo, Korony Królów, był crossover do Dynastii, było wiele innych, ale mamy również, moi drodzy, teraz, no następny crossover, który się będzie pojawiał, no to znaczy do Dune'y Denis Villeneuve'a.
6875:  Lauren Fistech pozazdrościła ewidentnie Denis Villeneuve'i, stwierdziła, że ona tutaj wprowadzi jeszcze Czerwie.
6882:  Ja nie chcę nic mówić, ale wyszedł z trailer drugiej części i tam jest pustynia.
6891:  Czerwie confirmed.
6892:  Czerwie są potwierdzone, moi drodzy.
6894:  Skoro jest już melansz, będziemy mieli czerwie, tak orzekłem ja, Krzysztof.
6899:  Wspomnijcie me słowa.
6900:  A jeżeli nie będzie czerwi, to i tak już nic temu serialowi nie zaszkodzi.
6904:  I to jest... Aha, i teraz do czego dochodzi na balu na tanet, bo musicie to wiedzieć.
6908:  Oryginalnie jest tak,
6910:  To ten debil wymyślił, wiecie, on się na tym nie zna.
6912:  Oryginalnie jest tak, że na Tanet przyjeżdża Yennefer z Ciri i oczywiście jest tam bal, wszyscy balują, wcześniej są intrygi polityczne, no i w którymś momencie Ciri zaczyna wieszczyć, jak to ona, bo wiecie, ma wizję, rzeczy się dzieją i Ciri wieszczy, wszyscy wpadają w panikę, tworzą się dwa stronnictwa, biedna Filipa nie wie, co się dzieje, nikt nie wie, co się dzieje, umiera równocześnie mistrz Pajchivo, tutejszy serialowy, czyli tak naprawdę wielki arcymistrz Banart i tak dalej, i tak dalej.
6938:  No, krótko mówiąc...
6939:  Rzeczy, tak?
6941:  Tutaj jest troszeczkę inaczej, mianowicie oś całej intrygi politycznej, która jest tutaj nawalona talent, wyraża się w tym, że oto, moi drodzy, Stregobor, a tak naprawdę nie Stregobor, ma sobie Księgę Menhirów.
6953:  Równocześnie Stregobor, a tak naprawdę nie Stregobor, w przerwach między tym, jak wcina tartinki z kawiorem, które widzieliśmy przed chwilą, knuje bardzo intensywnie nad tym, żeby wyekspediować wszystkie dzieci starszej krwi poza
6965:  przez jakiś portal oczywiście, który wiemy, że jest menhirem, dlatego ma Księgę Menhirów, poza sferę, na której się znajduje nasz wspaniały stary kontynent, czyli Królestwa Północy.
6973:  Do jakiejś innej sfery, bo pamiętacie, jest koniunkcja sfer.
6977:  Dobrze, bear with me, niedźwiedź ze mną, fajnie, jesteśmy wszyscy na jednej stronie, a zatem...
6980:  Stregobor ma taki pomysł, w związku z powyższym Geralt stwierdza do spółki z Yennefer, że tak naprawdę muszą zrobić jakąś burdę, ładną małą burdę, żeby odwrócić uwagę Stregobora.
6989:  Ho, ho, ho, tu jest Stregobor, którego tak naprawdę nie powinno tutaj być, ponieważ przypominam, że Stregobor w tej chwili jest w kowirze.
6994:  Wiru, wiru, twoja stara jest w kowiru.
6995:  A zatem Stregobor, którego tak naprawdę nie ma tutaj prawa być, on musi zostać jakoś, wiecie, wyekspediowany tak, żeby Geralt mógł się zakraść.
7005:  O, prawda, razem z Yennefer i Yennefer tutaj będzie, nie pamiętam, gdzie jest ta scena, ale będzie przeszukiwać
7010:  Rzeczy prywatne Stregobora i w rzeczach prywatnych Stregobora znajdzie różnego rodzaju dowody.
7014:  Bardzo, bardzo długa scena i w którymś momencie jest konfrontacja.
7017:  Przychodzi Stregobor, którego nie może tutaj być, ponieważ jest w kowirze i Stregobor siada pod ciężarem dowodów, które spuszcza na nie NFR.
7024:  Czasownik spuszcza został użyty całkowicie przypadkowo i nie w nawiązaniu do ekscesów erotycznych Filipy Eilhart.
7030:  i Yennefer razem z Geraltem konfrontują się ze Stregoborem i następnie spędzają wszystkich innych magów i mówią, popatrzcie jaki Stregobor jest brzydki, Stregobor chce wszystkie elfy wyekspediować, Vilgefort się smuci, ten człowiek, który nie wiem kim jest się smuci, prawdopodobnie Kaeramed się smuci, Tissaia de Vries cały czas się smuci praktycznie, więc trudno stwierdzić, czy w tej chwili się smuci szczególnie, ale wszyscy konfrontują się ze Stregoborem i myślą sobie, proszę bardzo, teraz jesteśmy bezpieczni, Tissaia już ma Księgę Menhirów, wie, że z Księgą Menhirów
7059:  Królestwa Północy są niebezpieczne, ponieważ ludzie mogą przez Menhiry przechodzić do innych światów i nie chcecie mieć takiej sytuacji, że wszyscy magowie będą robili coś takiego, prawda?
7068:  Nie chcecie mieć takiej sytuacji, w związku z powyższym należy ubrać majty Borata i z Księgą Menhirów uciekać w te pędy, co właśnie zrobi Tissaia de Vries.
7077:  No i dzięki temu wszyscy mogą sobie...
7080:  odetchnąć z ulgą, prawda?
7081:  I wracają na bal na Tanet, i dzieją się rzeczy, ale tutaj nagle Yen, nagle Geralt uświadamiają sobie, a uświadamiają sobie dzięki magii wody, ponieważ są w wannie, że tak naprawdę to nie Stregobor, bo Stregobor, jak pamiętamy, jest w Kowirze, tylko, moi drodzy, to tak naprawdę Vilgefortz.
7100:  I na tym się kończy cała intryga na Tanet.
7110:  A wiecie, co jest piękne?
7112:  Piękne jest to, że wszystko to powiedzieliśmy sobie, a w takt przygrywało nam a web of delusion Joe Vandrini.
7122:  To nie jest głębokie.
7123:  Moim zdaniem jest to głębokie jak wanna, w której był Geralt z Yennefer.
7130:  Co najmniej.
7131:  Co najmniej w ten sposób.
7134:  Jeszcze jest coś, co jest tak zbrutalizowane, że aż z ciężkim sercem wam pokazuję, bo konfrontacja Geralta z Vilgeforten była dla mnie najmocniejszym momentem w ogóle sagi.
7144:  I strasznie jestem zasmucony tym, jak te dialogi tutaj wyglądają.
7150:  W zasadzie jedyne, co tutaj zostało wspomniane, to...
7158:  To jest jakiś jeden ułamek, najmniejszy ułamek tego napięcia narracyjnego, który jest utrzymywany między Geraltem i Vilgefortzem, który kulminuje zresztą w scenie ich walki na schodach późniejszych.
7170:  Jeżeli to zostanie spieprzone w ostatnich odcinkach,
7174:  to ja się rozgniewam i potężnie.
7176:  Nie widzieliście mnie jeszcze nigdy rozgniewanym tak, jak rozgniewam się, jeżeli zostanie zepsuta do reszty postać Vilgefortza.
7182:  Bo Netflix spieprzył postać Vilgefortza dokumentnie.
7187:  Jeżeli chodzi o jego charakteryzację, jeżeli chodzi o jego ubiór i przeklęty krzyż, który ma na jak jakiś, nie wiem, braciszek, tak z Robin Hooda na piersiach.
7195:  Po jaką cholerę on ma jakiś krzyż?
7196:  Przy czym on w tym momencie wygląda jak skrzyżowanie braciszka, taka z popem.
7203:  I w takt tego wszyscy słyszymy te koszmarne dialogi.
7206:  Tu jest ten moment, kiedy Yennefer się orientuje, że tak naprawdę Wigefort zagraża Geraltowi i wszystkim.
7211:  Geralt wybiega, wybiega przerażony.
7213:  Co to się będzie działo?
7215:  I wiecie, co się stanie?
7216:  Wiecie, co się stanie?
7217:  To się stanie to, co zawsze mianowicie się dzieje.
7219:  Zawsze się dzieją takie rzeczy.
7221:  O, a mianowicie ho, ho, ho!
7223:  I będzie, i będzie co?
7225:  Cięcie będzie.
7226:  Zawsze jest cięcie pod koniec każdego z tych odcinków.
7229:  O, nikt się nie spodziewał Dijkstra Inkwizycji Redańskiej, tak?
7233:  Pojawia się Dijkstra i macie cięcie, jest koniec.
7236:  To jest niby ten punkt kulminacyjny, na którym się skończył sery.
7239:  Czy wy już rozumiecie, dlaczego ja byłem taki zły ostatnim razem, jak sobie zaczynaliśmy to omawiać?
7243:  Przecież to jest absolutnie przerażające.
7244:  Jak można...
7245:  uciąć to w takim miejscu.
7247:  Wiecie, kiedy mógł ten serial być ucięty bez najmniejszego problemu?
7250:  W poprzednim odcinku, prawda?
7251:  Mamy ten i przechodzimy do następnego.
7253:  Była ta scena z dzikim gonem, była naprawdę spoko, mogło to wtedy zostać.
7258:  Vilgefortz jeszcze przegrał z Kakirem w pierwszym sezonie.
7261:  O nie, denerwujcie mnie, nawet ja to wyparłem.
7263:  Koniec, dotrwaliśmy.
7264:  Tak jest, moi drodzy, przydaje się tutaj w takich okolicznościach powiedzenie, to już koniec rzekły Soliter, wyglądając z czterech liter, Soliter to tasiemiec.
7274:  I to powiedziawszy, moi drodzy, postanowiłem zaadresować jedną rzecz, która się zawsze pojawia, że ohoho.
7278:  Ho, ho, Krzysztof, bo ty zajmujesz się tym Wiedźminem, bo to klikalny temat, że hejt Netflixa, ho, ho, ho, tak, tak, ptysie, tak, hejt, klikalny temat, o, bardzo mi przykro, że w artykule naukowym Stevena Joyce'a Video Games in Transmedia Story Wars The Witcher and the Mothership Problem, poświęconym bardzo znanemu swoją drogą zagadnieniu,
7301:  które kiedyś Henry Jenkins określił taką frazą, czyli w zagadnieniu zarządzania treściami narracyjnymi w dużych uniwersach.
7309:  Kto zarządza?
7310:  Tak Loren zarządza?
7311:  Sapkowski zarządza?
7313:  Może CD Projekt Red zarządza?
7314:  Otóż problem polega na tym, i z tego tekstu to wynika, że nikt nie zarządza.
7318:  I nie będę wam oczywiście w tym momencie przytał tej całości, bo to by było bardzo dużo, ale wybrałem takie smakowite, wspaniałe fragmenty.
7326:  Mianowicie, w sytuacji, w której pojawiają się konflikty prawne, gdy mamy podwójne autorstwo jakiejś franczyzy,
7333:  Bardzo często się dzieje tak, że one powstrzymują powstawanie sypujnych światów transmedialnych, czyli takich światów, które będą łączyć książkę, grę i właśnie serial, prawda?
7344:  Podczas gdy zwykle ważnym obiektywem, czy celem dla wszystkich franczyzm, które mają jednolite prawa autorskie jest to, żeby właśnie one jednolite pozostały, w tych przypadkach właśnie się tak nie dzieje.
7354:  W związku z powyższym wszystkie strony się kłócą o to i przeciągają linę, żeby mieć swoje prawa i wyładować tam jak najwięcej różnych swoich rzeczy i pojawia się wyzwanie, tak?
7364:  To znaczy trzeba dzielić świat narracji, czyli story world, w ramach jego jakiegoś sedna narracyjnego, tak?
7370:  Co jest sednem narracyjnym Wiedźmina?
7372:  No weźmy na przykład to, jak wygląda Geralt, czym są Królestwa Północy, jak wygląda Ciri, czym jest Fiach Wiedźmiński, jak wygląda Medalion Wiedźmiński, proszę bardzo, weźmy sobie na przykład dowolny trailer, który mamy do gier, które się pojawiały, może pamiętacie, jak były trailery, może teraz nawet sobie odpalimy szybko, do Soulscaribou bodajże, Calibur i Witcher, tak?
7397:  To jest bardzo znaczące w momencie, w którym sobie odpalamy taki trailer.
7401:  Gameplay trailer, dobrze.
7402:  I to muszę wam odpalić od razu z muzyką, bo to jest ważne i to mega ważne nawet.
7408:  Tylko żeby to się teraz odpaliło.
7410:  Ja to będę miał, czy nie będę tego miał?
7413:  Dobra.
7414:  Próba, próba, próba, próba.
7417:  Weźmy sobie to od... Nie, chyba nie słychać.
7421:  Teraz będzie słychać.
7422:  Okej.
7427:  No jasne, Soul Scalibur jest Soul Scaliburem, tak?
7429:  Ale co się dzieje w momencie, w którym wjeżdża Geralt?
7432:  White Wolf, tak?
7439:  Muzyka Percivala!
7441:  Kaer Morhen!
7442:  Geralt!
7444:  Dwa miecze!
7448:  To, to jest właśnie ten narrative core, który mógł być sednem całego uniwersum wiedźmińskiego.
7460:  O to chodzi w tym tekście.
7461:  Tu nie chodzi o nic bardzo skomplikowanego.
7463:  Chodzi o to, że wy patrzycie na to, słuchacie i macie takie...
7467:  Wiedźmin, nie?
7469:  I teraz, jeżeli to robi ktoś komercyjnie, tak?
7472:  To robią komercyjnie devowie.
7473:  I jeszcze do tego wszystkiego stara się, żeby pokazać, no wiesz, Wiedźmin trafił do świata Solskalibura przez portal i jeszcze pierwsze, co mówi, to, że nienawidzi portali.
7482:  Dokładnie to samo zobaczycie we zwiastunie do Monster Hunter World, gdzie było DLC z Geraltem.
7487:  To jest znaczące i dokładnie o to chodzi w tym tekście.
7490:  I zresztą, jak czytacie w nim dalej, proszę bardzo,
7493:  Ikoniczny medalion Wiedźmiński Geralta został przeprojektowany na potrzeby z telewizyjnego serialu, sygnalizując intencje producentów, aby stworzyć osobną, oryginalną estetykę, prawda?
7506:  I jak to wyszło, to wszyscy wiemy.
7508:  Zamiast Wiedźmina III i tego właśnie wajbu słowiańskości, który dostrzegali w tej grze zachodni recenzenci, mamy tutaj generyczny świat fantasy przypominający grę o tron.
7522:  Czy ja to mówię, czy mówią to recenzenci, czy mówią to komentatorzy?
7525:  Nie, no mówią to naukowcy na podstawie pierwszego sezonu Wiedźmina, mamy trzeci.
7530:  Dalej, w wywiadach producenci mówili, że chcieli podtrzymywać te różnice raczej niż podobieństwa.
7537:  Tim Aslan z kolei powiedział, że był poinstruowany, a jest on kostium designer, czy projektantem kostiumów, kostiumografem, żeby nie inspirować się w ogóle grą.
7548:  Wprost jest to powiedziane.
7550:  To nie jest tak, że ktoś to zrobił dlatego, że to jest nieumiejętne.
7553:  Oni absolutnie celowo i świadomie to zrobili.
7557:  Mówił o tym w wywiadach po to właśnie, żeby odciąć się całkowicie od gier.
7562:  I zresztą wspomina się również o kwestiach, co bardzo mnie zaskoczyło, bo w tekstach angielskich zwykle to jest bardzo ostrożnie traktowane, etnicznych.
7570:  Pojawiła się dyskusja, w zasadzie burza opinii online w zakresie
7576:  growego przedstawiania tych etniczności i kwestii rasowych z wieloma ludźmi, którzy mówili, że to tak powinno być, bo właśnie reprezentujemy polskie, czy powiedzmy jakieś europejskie pseudośredniowiecze w ramach tego innego świata, czyli allotopii.
7590:  Więc jeżeli inspirujemy się światem przedindustrialnym, w którym nie było reprezentacji osób czarnoskórych, trudno, żeby się nagle pojawiały.
7598:  Tu to jest, prawda?
